#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.91  0.19  1.96146  1.155 3.933  4.254 11.8   0.038 0.00 13.681 13.777 13.654 13.774 13.939 14.089 13.644  1.961
 1   7.11  0.01  1.92140  1.152 3.947  4.305 10.7   0.036 0.00 12.589 12.737 12.583 12.743 12.923 13.080 12.586  1.921
 1   7.27  0.13  5.16246  2.796 4.218  4.173 11.0   0.037 0.00  8.781 10.345 10.005 10.392 10.691 10.959 10.126  5.162
 1   7.29  0.07  1.52241  0.714 3.855  4.273  9.8   0.033 0.00 12.786 12.771 12.869 12.731 12.766 12.849 12.779  1.522
 1   7.35 -0.15  2.56841  1.686 4.058  4.341 10.3   0.035 0.00 10.855 11.530 11.259 11.561 11.813 12.015 11.333  2.568
 1   7.35  0.07  1.06082 -0.051 3.758  4.491  8.6   0.026 0.00 13.498 13.463 13.898 13.393 13.276 13.251 13.706  1.061
 1   7.37  0.27  0.98167 -0.232 3.730  4.527  8.5   0.025 0.00 13.851 13.834 14.403 13.753 13.594 13.537 14.203  0.982
 1   7.45  0.33  1.87293  1.077 3.916  4.244 10.0   0.034 0.00 12.078 12.118 12.039 12.105 12.247 12.389 12.010  1.873
 1   7.55  0.35  1.60118  0.786 3.859  4.239 10.2   0.034 0.00 13.005 12.967 13.062 12.924 12.971 13.064 12.970  1.601
 1   7.69 -0.11  1.26038  0.375 3.818  4.381  8.5   0.025 0.00 12.333 12.309 12.519 12.260 12.231 12.272 12.394  1.260
 1   7.69 -0.05  1.34486  0.504 3.830  4.330  8.5   0.025 0.00 12.011 11.987 12.157 11.940 11.933 11.989 12.044  1.345
 1   7.71  0.37  1.24399  0.278 3.791  4.363  7.4   0.018 0.00 11.474 11.397 11.726 11.329 11.266 11.288 11.561  1.244
 1   7.75 -0.29  1.27212  0.434 3.838  4.407 10.3   0.035 0.00 13.984 13.997 14.142 13.956 13.954 14.013 14.040  1.272
 1   7.75 -0.19  1.57439  0.855 3.902  4.333  7.3   0.018 0.00  9.932  9.973  9.930  9.955 10.068 10.196  9.886  1.574
 1   7.77 -0.01  1.59213  0.824 3.880  4.284 10.4   0.035 0.00 13.109 13.126 13.149 13.098 13.174 13.281 13.084  1.592
 1   7.79  0.21  3.71325  2.285 4.113  4.122 10.1   0.034 0.00  9.158 10.100  9.798 10.136 10.409 10.636  9.898  3.713
 1   7.79  0.23  1.96136  1.160 3.931  4.239  8.1   0.023 0.00  9.970 10.042  9.919 10.038 10.203 10.354  9.909  1.961
 1   7.83  0.33  4.39704  2.619 4.151  4.013 10.3   0.035 0.00  8.524  9.665  9.345  9.706  9.990 10.234  9.459  4.397
 1   7.85  0.09  5.37766  3.078 4.180  3.758 12.3   0.038 0.00  9.375 10.716 10.391 10.759 11.047 11.295 10.506  5.378
 1   7.89  0.09  0.91558 -0.357 3.717  4.570  6.3   0.013 0.00 11.962 11.966 12.570 11.888 11.708 11.634 12.382  0.916
 1   7.91 -0.11  1.38207  0.579 3.846  4.328 10.5   0.035 0.00 13.823 13.822 13.946 13.781 13.796 13.865 13.850  1.382
 1   7.91  0.35  2.09435  1.278 3.951  4.232 11.2   0.037 0.00 12.775 12.912 12.748 12.918 13.107 13.269 12.758  2.094
 1   7.91  0.39  1.24963  0.293 3.792  4.357  9.0   0.029 0.00 13.038 12.967 13.295 12.900 12.838 12.860 13.129  1.250
 1   7.93  0.19  2.36606  1.496 3.988  4.214 10.0   0.034 0.00 11.031 11.329 11.109 11.349 11.569 11.743 11.150  2.366
 1   7.95 -0.17  1.60126  0.886 3.905  4.322  8.5   0.025 0.00 11.054 11.106 11.055 11.090 11.207 11.337 11.015  1.601
 1   7.95  0.07  1.69623  0.926 3.894  4.263 11.2   0.037 0.00 13.656 13.682 13.667 13.659 13.759 13.880 13.614  1.696
 1   7.97 -0.35  3.33684  2.213 4.136  4.237  8.1   0.023 0.00  7.337  8.448  8.140  8.485  8.760  8.995  8.237  3.337
 1   8.05  0.01  2.49526  1.629 4.020  4.233 10.9   0.036 0.00 11.597 12.066 11.817 12.093 12.330 12.514 11.877  2.495
 1   8.05  0.27  1.54319  0.720 3.847  4.240 10.6   0.036 0.00 13.569 13.531 13.661 13.484 13.508 13.587 13.559  1.543
 1   8.07 -0.33  1.92660  1.268 3.991  4.364  7.5   0.019 0.00  9.099  9.429  9.208  9.449  9.669  9.847  9.245  1.927
 1   8.07  0.13  2.61601  1.694 4.019  4.182  9.8   0.033 0.00 10.334 10.784 10.533 10.811 11.050 11.234 10.596  2.616
 1   8.09 -0.13  2.47036  1.649 4.033  4.261 11.0   0.037 0.00 11.648 12.191 11.935 12.220 12.462 12.651 11.999  2.470
 1   8.09  0.05  1.75616  0.998 3.908  4.264  9.3   0.030 0.00 11.574 11.619 11.559 11.604 11.730 11.864 11.523  1.756
 1   8.09  0.15  4.39291  2.764 4.096  3.646  9.8   0.033 0.00  7.660  8.504  8.208  8.538  8.805  9.017  8.309  4.393
