#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.61 -0.19  3.76524  2.298 4.172  4.350  8.5   0.019 0.00  7.525  8.835  8.513  8.876  9.163  9.416  8.618  3.765
 1   6.75  0.23 10.37973  3.695 4.397  4.294 12.7   0.038 0.00  8.232 10.834 10.436 10.896 11.243 11.565 10.586 10.380
 1   6.81 -0.17  1.35513  0.553 3.846  4.348  8.1   0.017 0.00 11.488 11.477 11.593 11.437 11.455 11.527 11.499  1.355
 1   6.95  0.29  5.37996  2.839 4.229  4.192  7.4   0.013 0.00  5.072  6.658  6.301  6.707  7.017  7.295  6.431  5.380
 1   6.97  0.27  1.64432  0.835 3.869  4.242 10.5   0.031 0.00 13.183 13.158 13.218 13.120 13.183 13.285 13.138  1.644
 1   7.05  0.29  1.83536  1.044 3.909  4.241 10.3   0.030 0.00 12.461 12.487 12.427 12.471 12.602 12.740 12.391  1.835
 1   7.07  0.39  3.48601  2.133 4.109  4.232 10.6   0.032 0.00 10.039 10.941 10.638 10.978 11.252 11.482 10.739  3.486
 1   7.11 -0.13  1.51080  0.753 3.878  4.324 11.1   0.034 0.00 13.989 14.013 14.041 13.985 14.055 14.158 13.975  1.511
 1   7.13  0.03  1.25165  0.329 3.804  4.367  7.6   0.014 0.00 11.548 11.496 11.754 11.440 11.394 11.424 11.611  1.252
 1   7.15 -0.17  6.77020  3.238 4.307  4.204 11.9   0.037 0.00  8.574 10.706 10.337 10.760 11.082 11.374 10.472  6.770
 1   7.15 -0.13  3.56606  2.212 4.148  4.315 13.4   0.038 0.00 12.640 13.816 13.508 13.855 14.132 14.372 13.607  3.566
 1   7.15  0.03  4.79512  2.662 4.209  4.237 10.3   0.030 0.00  8.416  9.934  9.598  9.978 10.275 10.539  9.714  4.795
 1   7.15  0.07  4.91122  2.702 4.212  4.221 12.1   0.037 0.00 10.114 11.653 11.316 11.698 11.995 12.260 11.434  4.911
 1   7.15  0.13  5.13161  2.777 4.219  4.195 12.4   0.037 0.00 10.228 11.801 11.460 11.848 12.148 12.416 11.582  5.132
 1   7.17  0.05  6.28499  3.112 4.273  4.163 10.1   0.029 0.00  7.089  8.991  8.629  9.043  9.358  9.643  8.760  6.285
 1   7.23  0.09  1.50044  0.682 3.848  4.272  9.4   0.025 0.00 12.466 12.437 12.553 12.395 12.420 12.498 12.457  1.500
 1   7.25  0.21  3.30980  2.046 4.093  4.228 11.8   0.036 0.00 11.455 12.287 11.995 12.321 12.588 12.807 12.087  3.310
 1   7.25  0.31  1.21190  0.217 3.783  4.383  9.3   0.024 0.00 13.527 13.461 13.815 13.392 13.316 13.327 13.642  1.212
 1   7.33  0.03  1.72951  0.966 3.907  4.285  9.5   0.025 0.00 11.855 11.896 11.839 11.880 12.004 12.138 11.801  1.729
 1   7.37 -0.23  2.03383  1.322 3.999  4.365 11.1   0.034 0.00 12.566 12.939 12.713 12.961 13.183 13.363 12.754  2.034
 1   7.37  0.41  2.38952  1.500 3.996  4.246 12.3   0.037 0.00 13.319 13.643 13.414 13.664 13.892 14.071 13.462  2.390
 1   7.37  0.43  2.64160  1.671 4.027  4.241 11.4   0.035 0.00 11.992 12.462 12.204 12.490 12.735 12.927 12.272  2.642
 1   7.41 -0.13  2.05829  1.319 3.989  4.334 10.3   0.030 0.00 11.772 12.091 11.874 12.111 12.328 12.504 11.910  2.058
 1   7.43  0.03  1.43797  0.614 3.840  4.290 10.4   0.031 0.00 13.636 13.614 13.756 13.570 13.580 13.647 13.652  1.438
 1   7.45 -0.05  4.24050  2.489 4.178  4.235 11.0   0.034 0.00  9.546 10.894 10.572 10.935 11.222 11.474 10.680  4.240
 1   7.47  0.17  1.72181  0.930 3.889  4.245 10.0   0.029 0.00 12.445 12.448 12.446 12.421 12.517 12.636 12.388  1.722
