#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.75 -0.35  1.31485  0.522 3.855  4.400  9.6   0.035 0.00 13.065 13.093 13.189 13.058 13.083 13.158 13.103  1.315
 1   6.75  0.13  1.96259  1.171 3.941  4.269  6.0   0.014 0.00  7.843  7.945  7.797  7.946  8.124  8.282  7.797  1.963
 1   7.15  0.25  3.35568  2.070 4.098  4.232  8.0   0.026 0.00  7.595  8.443  8.145  8.478  8.748  8.973  8.240  3.356
 1   7.21  0.45  3.50294  2.144 4.110  4.223 13.5   0.038 0.00 12.909 13.812 13.510 13.849 14.123 14.353 13.612  3.503
 1   7.23  0.31  1.95305  1.147 3.931  4.250 10.4   0.037 0.00 12.302 12.380 12.263 12.375 12.538 12.689 12.251  1.953
 1   7.33 -0.25  2.40260  1.600 4.052  4.373  7.3   0.022 0.00  8.070  8.707  8.436  8.737  8.988  9.190  8.507  2.403
 1   7.35  0.05  2.22902  1.403 3.991  4.292 10.6   0.037 0.00 11.862 12.185 11.966 12.206 12.425 12.600 12.006  2.229
 1   7.37  0.45  0.67619 -0.973 3.634  4.723  6.3   0.016 0.00 13.502 13.830 14.947 13.799 13.365 13.110 14.947  0.676
 1   7.47  0.07  5.72384  3.014 4.241  4.093  7.0   0.020 0.00  4.236  5.933  5.579  5.982  6.290  6.567  5.706  5.724
 1   7.67  0.13  1.43653  0.591 3.832  4.280  7.3   0.022 0.00 10.592 10.548 10.716 10.499 10.499 10.562 10.603  1.436
 1   7.71  0.29  2.40276  1.516 3.995  4.229  9.1   0.033 0.00 10.079 10.404 10.174 10.425 10.652 10.830 10.222  2.403
 1   7.73  0.03  2.00040  1.226 3.957  4.287 11.2   0.038 0.00 12.906 13.088 12.916 13.098 13.288 13.449 12.928  2.000
 1   7.79  0.05  1.46826  0.651 3.845  4.279 10.3   0.037 0.00 13.442 13.426 13.556 13.383 13.399 13.470 13.456  1.468
 1   7.85  0.31  2.25506  1.410 3.975  4.226 12.2   0.038 0.00 13.445 13.678 13.475 13.693 13.905 14.075 13.506  2.255
 1   7.87 -0.21  1.32588  0.517 3.843  4.362  7.7   0.025 0.00 11.177 11.175 11.301 11.134 11.145 11.213 11.205  1.326
 1   7.89  0.09  1.66747  0.888 3.885  4.259  9.8   0.035 0.00 12.351 12.363 12.373 12.336 12.423 12.536 12.312  1.667
 1   7.91  0.29  1.19552  0.194 3.781  4.390  9.5   0.034 0.00 13.784 13.729 14.095 13.660 13.578 13.583 13.919  1.195
 1   7.93  0.01  2.33523  1.503 4.004  4.265 10.8   0.037 0.00 11.813 12.202 11.968 12.226 12.454 12.633 12.017  2.335
 1   7.93  0.03  1.64627  0.878 3.887  4.272  6.8   0.019 0.00  9.376  9.383  9.380  9.357  9.449  9.567  9.323  1.646
 1   7.95  0.13  1.37595  0.509 3.821  4.297 10.1   0.036 0.00 13.597 13.560 13.771 13.507 13.486 13.534 13.643  1.376
 1   7.99 -0.21  1.53783  0.820 3.895  4.333 10.9   0.037 0.00 13.621 13.673 13.653 13.652 13.750 13.868 13.602  1.538
 1   8.01  0.11  0.88684 -0.428 3.706  4.583  3.3   0.005 0.00  9.141  9.160  9.814  9.080  8.882  8.794  9.642  0.887
 1   8.03  0.09  2.11794  1.322 3.965  4.247 10.3   0.037 0.00 11.765 11.972 11.786 11.985 12.185 12.349 11.807  2.118
 1   8.03  0.33  2.12970  1.313 3.955  4.219 12.1   0.038 0.00 13.588 13.742 13.571 13.749 13.942 14.104 13.585  2.130
 1   8.07 -0.05  1.47815  0.694 3.859  4.297 10.2   0.036 0.00 13.234 13.238 13.322 13.201 13.240 13.325 13.238  1.478
 1   8.07  0.11  1.07768 -0.010 3.761  4.470  8.7   0.031 0.00 13.496 13.460 13.888 13.390 13.277 13.256 13.697  1.078
 1   8.09  0.05  1.82197  1.065 3.921  4.265 10.4   0.037 0.00 12.508 12.583 12.488 12.575 12.721 12.862 12.466  1.822
 1   8.13 -0.27  3.58335  2.381 4.128  4.068  5.5   0.012 0.00  4.318  5.365  5.056  5.402  5.678  5.910  5.154  3.583
 1   8.17 -0.11  2.53957  1.702 4.035  4.225 10.0   0.036 0.00 10.514 11.064 10.805 11.092 11.336 11.525 10.872  2.540
 1   8.19  0.07  1.71980  0.958 3.898  4.253  8.5   0.029 0.00 10.875 10.899 10.869 10.877 10.987 11.113 10.821  1.720
 1   8.19  0.13  1.10196  0.036 3.766  4.453  8.5   0.029 0.00 13.180 13.139 13.549 13.070 12.964 12.950 13.363  1.102
 1   8.21 -0.25  2.30918  1.572 4.026  4.280  9.9   0.036 0.00 10.739 11.252 11.001 11.280 11.518 11.704 11.061  2.309
 1   8.21  0.03  1.03561 -0.077 3.756  4.500  8.7   0.031 0.00 13.663 13.635 14.075 13.566 13.445 13.416 13.881  1.036
 1   8.23  0.03  1.21075  0.269 3.796  4.381  7.7   0.025 0.00 11.796 11.752 12.041 11.694 11.634 11.654 11.888  1.211
 1   8.23  0.05  3.93693  2.592 4.058  3.620 12.0   0.038 0.00 10.291 10.948 10.670 10.979 11.234 11.423 10.758  3.937
 1   8.23  0.41  1.34004  0.446 3.810  4.303 10.3   0.037 0.00 13.954 13.889 14.156 13.826 13.791 13.831 14.008  1.340
 1   8.27  0.29  2.10709  1.307 3.947  4.188 10.6   0.037 0.00 12.102 12.228 12.071 12.233 12.418 12.575 12.079  2.107
 1   8.29 -0.17  3.34699  2.289 4.079  3.936  9.4   0.034 0.00  8.447  9.231  8.947  9.264  9.523  9.727  9.034  3.347
 1   8.29  0.25  1.07792 -0.023 3.756  4.464  8.1   0.027 0.00 12.929 12.883 13.342 12.809 12.690 12.666 13.146  1.078
 1   8.31 -0.13  2.93890  2.015 4.058  4.069  9.3   0.034 0.00  9.033  9.702  9.427  9.733  9.986 10.182  9.506  2.939
 1   8.31  0.03  1.37603  0.540 3.828  4.294  9.4   0.034 0.00 12.821 12.795 12.977 12.746 12.735 12.788 12.860  1.376
 1   8.31  0.11  1.98860  1.222 3.939  4.216  7.0   0.020 0.00  8.715  8.817  8.672  8.818  8.993  9.148  8.672  1.989
 1   8.33  0.05  1.14013  0.132 3.779  4.427  9.6   0.035 0.00 14.041 14.004 14.357 13.941 13.855 13.854 14.185  1.140
 1   8.35 -0.21  3.35526  2.344 4.058  3.799  7.5   0.023 0.00  6.409  7.075  6.795  7.106  7.361  7.553  6.879  3.355
 1   8.35  0.33  1.25565  0.312 3.794  4.346  9.5   0.034 0.00 13.489 13.428 13.747 13.363 13.301 13.323 13.584  1.256
 1   8.37 -0.29  1.48625  0.795 3.893  4.334 10.5   0.037 0.00 13.282 13.337 13.323 13.316 13.409 13.525 13.271  1.486
 1   8.37  0.11  2.39467  1.574 3.985  4.129  8.1   0.027 0.00  8.935  9.219  8.997  9.238  9.458  9.629  9.040  2.395
 1   8.37  0.15  1.03388 -0.105 3.748  4.494  7.4   0.023 0.00 12.432 12.396 12.877 12.322 12.191 12.156 12.678  1.034
 1   8.37  0.17  1.84274  1.072 3.907  4.206  8.1   0.027 0.00 10.190 10.219 10.160 10.202 10.330 10.464 10.123  1.843
 1   8.37  0.45  2.36910  1.536 3.973  4.114  9.3   0.034 0.00 10.230 10.443 10.236 10.457 10.671 10.840 10.272  2.369
 1   8.39  0.35  2.01428  1.234 3.930  4.176 10.8   0.037 0.00 12.486 12.560 12.441 12.556 12.721 12.869 12.430  2.014
 1   8.41 -0.07  1.19142  0.260 3.800  4.398  9.9   0.036 0.00 14.021 13.995 14.270 13.940 13.882 13.902 14.123  1.191
 1   8.41  0.07  2.44543  1.629 3.990  4.105  9.2   0.033 0.00  9.899 10.216  9.989 10.237 10.460 10.630 10.036  2.445
 1   8.41  0.49  0.79700 -0.663 3.669  4.626  7.3   0.022 0.00 13.727 13.871 14.782 13.789 13.500 13.348 14.725  0.797
 1   8.43 -0.27  1.62834  0.968 3.923  4.321  7.3   0.022 0.00  9.649  9.736  9.633  9.730  9.877 10.021  9.613  1.628
 1   8.47 -0.31  1.81496  1.187 3.963  4.309 10.4   0.037 0.00 12.202 12.428 12.247 12.440 12.634 12.795 12.263  1.814
 1   8.47 -0.13  1.78262  1.098 3.933  4.271  9.5   0.034 0.00 11.526 11.641 11.516 11.640 11.802 11.949 11.506  1.782
 1   8.47 -0.03  1.85385  1.139 3.931  4.238  9.5   0.034 0.00 11.422 11.524 11.402 11.523 11.683 11.829 11.392  1.853
 1   8.51 -0.23  3.04994  2.237 3.985  3.573  9.0   0.032 0.00  8.178  8.489  8.256  8.512  8.733  8.883  8.312  3.050
 1   8.51  0.09  2.52953  1.717 3.983  4.002  9.9   0.036 0.00 10.376 10.661 10.440 10.681 10.899 11.064 10.484  2.530
 1   8.53 -0.27  2.76096  2.023 4.016  3.866  9.4   0.034 0.00  9.113  9.574  9.322  9.601  9.836 10.007  9.388  2.761
 1   8.53  0.07  3.03718  2.134 3.956  3.558  9.5   0.034 0.00  8.934  9.106  8.906  9.121  9.324  9.463  8.944  3.037
 1   8.55 -0.07  2.55608  1.794 3.994  3.976  7.8   0.025 0.00  8.086  8.423  8.187  8.446  8.673  8.841  8.240  2.556
 1   8.57 -0.01  1.58457  0.842 3.876  4.245 11.0   0.037 0.00 13.665 13.677 13.713 13.647 13.716 13.818 13.644  1.584
 1   8.57  0.25  1.52525  0.716 3.842  4.218 10.9   0.037 0.00 13.880 13.842 13.989 13.794 13.809 13.881 13.881  1.525
 1   8.57  0.39  2.87327  1.996 3.944  3.621  8.3   0.028 0.00  8.079  8.179  8.002  8.187  8.381  8.521  8.028  2.873
 1   8.59 -0.19  2.08532  1.430 3.974  4.169  9.1   0.033 0.00 10.295 10.551 10.347 10.569 10.777 10.940 10.378  2.085
 1   8.59  0.35  0.92567 -0.350 3.713  4.554  7.6   0.024 0.00 13.245 13.255 13.908 13.170 12.983 12.905 13.728  0.926
 1   8.61  0.03  1.23101  0.320 3.800  4.356  9.0   0.032 0.00 12.971 12.933 13.207 12.876 12.822 12.846 13.059  1.231
 1   8.63  0.45  1.00937 -0.160 3.739  4.504  8.0   0.026 0.00 13.170 13.131 13.679 13.047 12.904 12.863 13.479  1.009
 1   8.65 -0.13  1.72854  1.057 3.918  4.237 10.8   0.037 0.00 12.926 13.007 12.919 12.999 13.138 13.275 12.894  1.728
 1   8.65  0.19  1.72603  0.965 3.878  4.166 11.2   0.038 0.00 13.557 13.550 13.582 13.519 13.596 13.703 13.513  1.725
 1   8.65  0.25  1.09641  0.024 3.761  4.445  8.8   0.031 0.00 13.509 13.464 13.901 13.390 13.279 13.261 13.710  1.096
 1   8.65  0.33  1.20163  0.228 3.784  4.371  7.9   0.026 0.00 12.099 12.033 12.387 11.964 11.889 11.901 12.214  1.202
 1   8.67 -0.01  1.90006  1.205 3.926  4.160 11.4   0.038 0.00 13.157 13.243 13.130 13.240 13.395 13.536 13.117  1.899
 1   8.67  0.09  0.93336 -0.307 3.723  4.554  8.5   0.029 0.00 14.037 14.042 14.622 13.965 13.793 13.725 14.423  0.933
 1   8.67  0.13  1.49142  0.695 3.841  4.226  9.8   0.035 0.00 12.831 12.803 12.947 12.757 12.769 12.838 12.841  1.491
 1   8.67  0.21  2.02957  1.284 3.916  4.069 10.6   0.037 0.00 12.159 12.207 12.120 12.197 12.341 12.477 12.097  2.030
 1   8.69 -0.27  1.88069  1.278 3.956  4.206  9.0   0.032 0.00 10.575 10.767 10.591 10.778 10.968 11.124 10.606  1.881
 1   8.69 -0.09  1.79340  1.123 3.921  4.200 11.5   0.038 0.00 13.464 13.547 13.448 13.541 13.687 13.824 13.428  1.793
 1   8.69 -0.05  1.24013  0.358 3.809  4.356  9.9   0.036 0.00 13.776 13.752 13.994 13.699 13.657 13.687 13.858  1.240
 1   8.69  0.15  2.65945  1.877 3.899  3.527 10.1   0.036 0.00 10.178 10.185 10.114 10.173 10.303 10.415 10.091  2.659
 1   8.71 -0.11  2.03646  1.385 3.947  4.096 10.0   0.036 0.00 11.307 11.458 11.295 11.466 11.649 11.799 11.305  2.036
 1   8.71 -0.01  1.56822  0.835 3.871  4.228  8.8   0.031 0.00 11.482 11.485 11.531 11.453 11.514 11.612 11.459  1.568
 1   8.71  0.29  1.63372  0.863 3.859  4.170  6.4   0.017 0.00  9.014  8.964  9.049  8.922  8.971  9.066  8.961  1.633
 1   8.73 -0.05  1.37697  0.586 3.837  4.283  8.4   0.029 0.00 11.704 11.686 11.835 11.642 11.645 11.707 11.730  1.377
 1   8.73 -0.03  0.84373 -0.496 3.702  4.615  7.5   0.023 0.00 13.509 13.556 14.219 13.480 13.270 13.173 14.047  0.844
 1   8.73  0.01  1.61891  0.895 3.878  4.208  8.9   0.032 0.00 11.432 11.439 11.465 11.409 11.483 11.588 11.399  1.618
 1   8.73  0.05  1.92891  1.230 3.917  4.107  7.7   0.025 0.00  9.396  9.448  9.353  9.440  9.585  9.723  9.332  1.928
 1   8.73  0.11  0.80407 -0.623 3.677  4.622  7.5   0.023 0.00 13.827 13.945 14.759 13.866 13.604 13.468 14.664  0.804
 1   8.73  0.45  1.25564  0.331 3.795  4.331  9.3   0.034 0.00 13.244 13.171 13.496 13.103 13.044 13.070 13.330  1.255
 1   8.75 -0.37  1.55238  0.946 3.917  4.298 10.1   0.036 0.00 12.505 12.599 12.516 12.592 12.726 12.860 12.489  1.552
 1   8.75 -0.17  1.48626  0.784 3.876  4.275  8.9   0.032 0.00 11.710 11.731 11.763 11.702 11.769 11.869 11.696  1.486
