#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.61 -0.07  1.50649  0.728 3.869  4.311 10.6   0.020 0.00 13.550 13.549 13.599 13.517 13.575 13.673 13.526  1.506
 1   6.61 -0.07  2.93477  1.883 4.090  4.329 12.9   0.034 0.00 12.962 13.803 13.516 13.837 14.100 14.317 13.601  2.935
 1   6.61 -0.01  2.46242  1.581 4.030  4.316 11.7   0.027 0.00 12.518 13.033 12.775 13.060 13.304 13.496 12.838  2.462
 1   6.61 -0.01 17.84867  4.624 4.495  3.990 13.4   0.035 0.00  6.610  9.732  9.304  9.804 10.169 10.512  9.470 17.758
 1   6.61 -0.01 42.28946  5.642 4.318  2.568 14.0   0.037 0.00  4.666  6.793  6.424  6.844  7.167  7.461  6.562 35.647
 1   6.67 -0.21  2.57752  1.701 4.070  4.374 12.5   0.032 0.00 13.018 13.756 13.479 13.788 14.044 14.252 13.556  2.578
 1   6.67 -0.07  2.58595  1.674 4.053  4.333  9.8   0.016 0.00 10.386 11.009 10.733 11.039 11.293 11.497 10.808  2.586
 1   6.67  0.01  5.87240  2.962 4.267  4.257 13.0   0.034 0.00 10.364 12.239 11.882 12.289 12.601 12.883 12.010  5.872
 1   6.67  0.09  2.99578  1.892 4.078  4.282 10.6   0.020 0.00 10.640 11.392 11.103 11.425 11.689 11.904 11.189  2.996
 1   6.67  0.25  4.63182  2.588 4.192  4.229 13.8   0.036 0.00 12.100 13.492 13.159 13.536 13.831 14.091 13.277  4.632
 1   6.67  0.49  9.28973  3.544 4.370  4.287 13.6   0.036 0.00  9.511 11.912 11.519 11.973 12.316 12.633 11.667  9.290
 1   6.75 -0.07  1.82063  1.083 3.940  4.321 10.9   0.022 0.00 12.961 13.082 12.940 13.084 13.256 13.411 12.937  1.821
 1   6.75  0.01 10.22244  3.830 4.394  4.140 13.3   0.035 0.00  8.495 11.104 10.707 11.166 11.510 11.830 10.856 10.222
 1   6.75  0.03  2.41402  1.538 4.019  4.305 12.0   0.029 0.00 12.925 13.381 13.132 13.407 13.645 13.832 13.190  2.414
 1   6.75  0.09  2.66473  1.690 4.042  4.286 11.8   0.028 0.00 12.344 12.910 12.644 12.940 13.189 13.386 12.715  2.665
 1   6.75  0.21  2.65416  1.668 4.029  4.254 12.3   0.031 0.00 12.900 13.392 13.133 13.420 13.665 13.856 13.200  2.654
