#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.81  0.01  2.56681  1.644 4.040  4.310 10.8   0.036 0.00 11.460 12.031 11.770 12.061 12.307 12.501 11.838  2.567
 1   6.91  0.23  1.91567  1.113 3.924  4.251 11.8   0.038 0.00 13.787 13.854 13.752 13.847 14.001 14.146 13.733  1.916
 1   7.15  0.19 16.39008  4.728 4.370  3.350 11.4   0.037 0.00  4.349  6.755  6.369  6.813  7.150  7.461  6.515 16.325
 1   7.15  0.37  1.85795  1.063 3.914  4.244  9.6   0.032 0.00 11.712 11.742 11.671 11.727 11.866 12.007 11.639  1.858
 1   7.25 -0.27  4.47020  2.588 4.216  4.310 10.2   0.035 0.00  8.499 10.095  9.761 10.140 10.435 10.699  9.874  4.470
 1   7.27  0.17  4.60131  2.602 4.186  4.188  9.5   0.031 0.00  7.764  9.128  8.797  9.171  9.463  9.721  8.913  4.601
 1   7.47  0.23  1.84117  1.048 3.910  4.241 11.4   0.037 0.00 13.550 13.588 13.528 13.573 13.703 13.839 13.492  1.841
 1   7.47  0.37  3.55881  2.180 4.110  4.197 10.1   0.034 0.00  9.421 10.332 10.029 10.368 10.642 10.872 10.130  3.559
 1   7.49 -0.23  1.94458  1.252 3.985  4.360 10.2   0.035 0.00 11.841 12.151 11.941 12.169 12.382 12.555 11.972  1.945
 1   7.51  0.31  1.75520  0.961 3.893  4.238 11.2   0.037 0.00 13.567 13.570 13.561 13.543 13.646 13.770 13.505  1.755
 1   7.59 -0.01  0.94430 -0.280 3.730  4.560  8.1   0.023 0.00 13.571 13.565 14.105 13.492 13.332 13.272 13.904  0.944
 1   7.61  0.03  1.75071  0.988 3.911  4.284  9.9   0.033 0.00 12.201 12.256 12.190 12.242 12.372 12.507 12.156  1.751
 1   7.63  0.05  3.10763  1.973 4.084  4.241 13.1   0.038 0.00 12.938 13.741 13.456 13.775 14.037 14.250 13.542  3.108
 1   7.63  0.25  4.46945  2.597 4.167  4.104 12.3   0.038 0.00 10.576 11.822 11.499 11.864 12.151 12.400 11.613  4.469
 1   7.67  0.05  3.60928  2.229 4.122  4.202  8.2   0.023 0.00  7.397  8.398  8.093  8.435  8.710  8.943  8.191  3.609
 1   7.77 -0.25  3.21950  2.099 4.123  4.285  9.1   0.029 0.00  8.624  9.658  9.358  9.695  9.966 10.196  9.451  3.219
 1   7.79  0.09  1.94045  1.161 3.940  4.269 11.5   0.037 0.00 13.367 13.488 13.350 13.489 13.660 13.813 13.346  1.940
 1   7.81 -0.31  1.61448  0.941 3.928  4.365  7.9   0.022 0.00 10.319 10.421 10.308 10.417 10.570 10.717 10.291  1.614
 1   7.81 -0.23  1.58180  0.878 3.909  4.342  8.4   0.025 0.00 10.976 11.039 10.978 11.025 11.148 11.280 10.941  1.582
 1   7.81  0.03  5.92148  3.289 4.187  3.617  9.4   0.031 0.00  5.947  7.331  7.001  7.374  7.664  7.914  7.119  5.921
 1   7.83  0.03  1.17203  0.193 3.788  4.410  8.0   0.022 0.00 12.288 12.243 12.560 12.182 12.110 12.120 12.399  1.172
 1   7.85 -0.03  2.91496  1.889 4.070  4.241  9.0   0.029 0.00  9.047  9.773  9.492  9.805 10.064 10.271  9.573  2.915
 1   7.85  0.21  1.26188  0.313 3.795  4.351  9.7   0.032 0.00 13.688 13.636 13.943 13.573 13.512 13.532 13.784  1.262
 1   7.85  0.47  1.66015  0.856 3.872  4.235 11.2   0.037 0.00 13.831 13.794 13.854 13.755 13.823 13.931 13.772  1.660
 1   7.87  0.03  2.08854  1.303 3.969  4.278 11.8   0.038 0.00 13.313 13.543 13.351 13.557 13.760 13.926 13.374  2.089
 1   7.87  0.27  0.65598 -1.024 3.629  4.739  5.4   0.009 0.00 12.729 13.066 14.197 13.037 12.596 12.336 14.204  0.656
 1   7.87  0.41  1.86831  1.074 3.914  4.237 10.6   0.036 0.00 12.685 12.716 12.645 12.700 12.840 12.981 12.613  1.868
 1   7.89 -0.03  5.97219  3.539 3.729  1.538 10.3   0.035 0.00  6.224  6.206  6.754  6.132  5.971  5.911  6.493  5.972
 1   7.91  0.41  4.71807  2.811 4.151  3.853  9.8   0.033 0.00  7.544  8.674  8.351  8.715  9.000  9.244  8.469  4.718
 1   7.93 -0.21  3.41265  2.216 4.127  4.210  9.2   0.030 0.00  8.430  9.486  9.184  9.524  9.796 10.027  9.279  3.413
 1   7.93  0.05  1.77450  1.013 3.913  4.271 10.4   0.035 0.00 12.636 12.694 12.624 12.682 12.814 12.950 12.591  1.774
 1   7.93  0.43  1.80128  1.008 3.901  4.235 11.4   0.037 0.00 13.649 13.654 13.622 13.630 13.749 13.882 13.574  1.801
 1   7.95 -0.15  1.34921  0.544 3.843  4.341 10.4   0.035 0.00 13.810 13.811 13.944 13.770 13.779 13.844 13.845  1.349
 1   7.99  0.19  3.95992  2.460 4.115  3.983  7.7   0.020 0.00  6.319  7.261  6.953  7.297  7.573  7.802  7.056  3.960
 1   8.01  0.13  1.35206  0.474 3.817  4.307 10.0   0.034 0.00 13.585 13.545 13.770 13.491 13.463 13.506 13.638  1.352
 1   8.05 -0.07  1.93313  1.200 3.957  4.299  7.0   0.016 0.00  8.770  8.941  8.762  8.951  9.144  9.309  8.776  1.933
 1   8.05 -0.03  2.66469  1.753 4.042  4.223  9.9   0.033 0.00 10.288 10.866 10.601 10.895 11.143 11.336 10.672  2.665
 1   8.05  0.27  2.27399  1.433 3.974  4.203 11.9   0.038 0.00 13.089 13.321 13.118 13.336 13.547 13.715 13.150  2.274
 1   8.07 -0.19  0.81254 -0.525 3.704  4.636  7.8   0.021 0.00 13.883 13.929 14.570 13.856 13.649 13.553 14.391  0.813
 1   8.07 -0.13  1.24637  0.364 3.817  4.385  8.5   0.025 0.00 12.360 12.338 12.548 12.288 12.259 12.299 12.423  1.246
 1   8.09  0.11  1.87365  1.103 3.923  4.247  9.2   0.030 0.00 11.213 11.281 11.178 11.274 11.426 11.571 11.159  1.874
 1   8.09  0.11  2.56321  1.664 4.015  4.189 10.1   0.034 0.00 10.711 11.145 10.898 11.171 11.408 11.590 10.958  2.563
 1   8.11 -0.23  1.05753  0.034 3.781  4.498  9.3   0.030 0.00 13.986 13.967 14.301 13.909 13.822 13.819 14.135  1.058
 1   8.11  0.29  1.29076  0.369 3.801  4.329  9.4   0.031 0.00 13.248 13.187 13.477 13.124 13.074 13.103 13.322  1.291
 1   8.13 -0.19  1.97603  1.275 3.978  4.318  9.7   0.032 0.00 11.282 11.558 11.353 11.575 11.784 11.955 11.382  1.976
 1   8.13  0.31  2.77543  1.800 4.024  4.125 10.5   0.036 0.00 10.771 11.239 10.980 11.267 11.510 11.697 11.050  2.775
 1   8.13  0.31  3.50891  2.257 4.077  3.978 10.7   0.036 0.00  9.827 10.560 10.271 10.593 10.856 11.065 10.365  3.509
 1   8.15 -0.29  1.12185  0.177 3.804  4.471  6.5   0.014 0.00 10.826 10.804 11.050 10.752 10.701 10.726 10.914  1.122
