#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.61  0.07  1.48672  0.667 3.848  4.279  7.8   0.025 0.00 10.902 10.875 10.993 10.833 10.856 10.933 10.897  1.487
 1   6.67 -0.25  3.46248  2.182 4.157  4.370  9.7   0.035 0.00  9.015 10.255  9.944 10.294 10.574 10.818 10.043  3.462
 1   7.05 -0.07  3.04114  1.945 4.099  4.318  8.7   0.031 0.00  8.607  9.494  9.202  9.528  9.795 10.016  9.290  3.041
 1   7.11  0.07  2.56363  1.634 4.032  4.288  8.8   0.031 0.00  9.486 10.007  9.748 10.035 10.280 10.472  9.814  2.564
 1   7.63 -0.41  2.98100  1.995 4.125  4.364 10.2   0.036 0.00  9.983 11.049 10.752 11.086 11.356 11.585 10.843  2.981
 1   7.65  0.13  1.23908  0.285 3.794  4.369  9.8   0.035 0.00 13.857 13.814 14.118 13.753 13.690 13.707 13.960  1.239
 1   7.69  0.29  2.46153  1.558 4.003  4.228  9.0   0.032 0.00  9.875 10.235  9.997 10.258 10.490 10.671 10.050  2.462
 1   7.73  0.17  1.35140  0.461 3.814  4.309  9.1   0.033 0.00 12.717 12.671 12.908 12.615 12.584 12.625 12.771  1.351
 1   7.75  0.15  2.55664  1.630 4.018  4.232  9.1   0.033 0.00  9.794 10.237  9.988 10.263 10.502 10.687 10.048  2.557
 1   7.85  0.37  1.11795  0.046 3.764  4.443  8.6   0.030 0.00 13.255 13.199 13.636 13.123 13.018 13.005 13.445  1.118
 1   7.87 -0.07  1.07813  0.020 3.770  4.477  8.5   0.029 0.00 13.219 13.190 13.568 13.126 13.025 13.013 13.389  1.078
 1   7.87  0.11  1.44391  0.607 3.835  4.277  9.7   0.035 0.00 12.952 12.923 13.085 12.875 12.878 12.940 12.974  1.444
 1   7.93 -0.25  1.63380  0.946 3.924  4.346  8.4   0.029 0.00 10.804 10.897 10.797 10.892 11.038 11.181 10.775  1.634
 1   7.97  0.11  0.85285 -0.511 3.694  4.601  7.5   0.023 0.00 13.548 13.615 14.338 13.535 13.309 13.200 14.192  0.853
 1   7.97  0.11  1.95469  1.175 3.938  4.254  9.2   0.033 0.00 11.033 11.145 11.008 11.146 11.317 11.470 11.004  1.955
 1   7.99  0.17  1.29809  0.383 3.804  4.330  8.3   0.028 0.00 12.112 12.060 12.329 12.001 11.955 11.986 12.182  1.298
 1   8.01  0.25  5.07193  3.028 3.646  1.645  9.6   0.035 0.00  6.799  7.036  8.056  6.962  6.636  6.439  7.716  5.072
 1   8.07  0.27  1.52146  0.694 3.843  4.243  9.6   0.035 0.00 12.636 12.594 12.739 12.546 12.563 12.637 12.631  1.521
 1   8.07  0.39  1.69627  0.900 3.879  4.229  9.6   0.035 0.00 12.120 12.096 12.130 12.061 12.142 12.255 12.058  1.696
 1   8.09 -0.17  3.33356  2.202 4.108  4.137  9.9   0.036 0.00  9.166 10.113  9.819 10.148 10.415 10.636  9.910  3.334
 1   8.09  0.07  1.26033  0.341 3.803  4.355  9.9   0.036 0.00 13.817 13.780 14.049 13.722 13.672 13.698 13.902  1.260
 1   8.13 -0.25  3.89273  2.552 4.134  3.957 10.0   0.036 0.00  8.389  9.489  9.185  9.527  9.800 10.029  9.284  3.893
 1   8.15  0.01  1.42608  0.611 3.839  4.284  8.4   0.029 0.00 11.643 11.621 11.764 11.576 11.585 11.650 11.660  1.426
 1   8.15  0.07  2.02829  1.256 3.953  4.246  9.0   0.032 0.00 10.630 10.788 10.620 10.796 10.985 11.145 10.630  2.028
 1   8.15  0.35  2.20688  1.384 3.963  4.197  8.6   0.030 0.00  9.909 10.089  9.900 10.100 10.303 10.469  9.924  2.207
 1   8.17 -0.15  1.32665  0.513 3.838  4.345  9.2   0.033 0.00 12.688 12.685 12.832 12.642 12.644 12.704 12.728  1.327
 1   8.17  0.15  3.85131  2.488 4.081  3.807  8.8   0.031 0.00  7.350  8.117  7.827  8.150  8.414  8.621  7.921  3.851
