#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   7.47 -0.15  0.68366 -0.876 3.654  4.710  6.8   0.022 0.00 13.761 13.971 14.906 13.903 13.580 13.400 14.878  0.684
 1   7.47  0.13  2.80375  1.778 4.049  4.250  9.3   0.035 0.00  9.624 10.231  9.961 10.262 10.514 10.711 10.036  2.804
 1   7.69 -0.01  1.89501  1.141 3.944  4.299 10.5   0.037 0.00 12.419 12.561 12.413 12.565 12.741 12.895 12.413  1.895
 1   7.73  0.37  2.25720  1.409 3.976  4.234  7.8   0.028 0.00  9.049  9.277  9.068  9.292  9.507  9.681  9.102  2.257
 1   7.77  0.05  1.22922  0.289 3.798  4.376  8.2   0.031 0.00 12.246 12.206 12.490 12.148 12.090 12.111 12.339  1.229
 1   7.77  0.07  0.99636 -0.175 3.743  4.528  8.8   0.034 0.00 14.006 13.990 14.488 13.918 13.776 13.731 14.288  0.996
 1   7.87 -0.15  0.26509 -1.980 3.563  5.038  2.4   0.004 0.00 12.120 12.762 14.309 12.918 12.122 11.652 14.183  0.265
 1   7.91 -0.01  1.63297  0.872 3.889  4.282  9.3   0.035 0.00 11.889 11.916 11.913 11.892 11.984 12.099 11.856  1.633
 1   7.95  0.33  1.92826  1.133 3.924  4.232  7.0   0.023 0.00  8.937  8.983  8.878  8.975  9.132  9.282  8.860  1.928
 1   8.07  0.19  2.96684  1.917 4.045  4.118  8.6   0.033 0.00  8.577  9.154  8.883  9.184  9.436  9.630  8.960  2.967
 1   8.09 -0.11  2.47192  1.645 4.031  4.256  9.5   0.036 0.00 10.158 10.688 10.432 10.716 10.957 11.145 10.496  2.472
 1   8.09  0.05  3.48258  2.243 4.093  4.056 10.1   0.037 0.00  9.264 10.112  9.822 10.146 10.411 10.625  9.913  3.483
 1   8.09  0.33  2.57267  1.655 4.007  4.165 10.0   0.037 0.00 10.631 11.011 10.769 11.035 11.269 11.450 10.827  2.573
 1   8.15  0.03  1.69889  0.943 3.899  4.266  8.3   0.031 0.00 10.713 10.743 10.712 10.723 10.832 10.958 10.664  1.699
 1   8.17  0.19  2.16253  1.349 3.957  4.199  8.9   0.034 0.00 10.297 10.466 10.289 10.475 10.670 10.832 10.306  2.163
