#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.61  0.21 10.15080  3.650 4.395  4.322 14.2   0.037 0.00  9.845 12.440 12.043 12.502 12.848 13.170 12.192 10.151
 1   6.61  0.27  3.26483  2.016 4.091  4.247 13.3   0.035 0.00 13.030 13.848 13.556 13.883 14.150 14.370 13.649  3.265
 1   6.67  0.11  5.86796  2.966 4.261  4.229 13.6   0.036 0.00 10.955 12.777 12.421 12.828 13.140 13.421 12.550  5.868
 1   6.67  0.27 11.36418  3.827 4.419  4.289 12.5   0.032 0.00  7.703 10.418 10.012 10.482 10.835 11.163 10.165 11.364
 1   6.75 -0.05  2.08958  1.325 3.984  4.316 10.7   0.021 0.00 12.158 12.443 12.226 12.461 12.678 12.853 12.262  2.090
 1   6.75  0.19  2.47755  1.557 4.009  4.257 11.0   0.023 0.00 11.877 12.266 12.021 12.290 12.526 12.711 12.077  2.478
 1   6.75  0.31  3.24267  2.005 4.089  4.246 13.4   0.035 0.00 13.156 13.959 13.667 13.994 14.261 14.480 13.760  3.243
 1   6.81 -0.19  1.53470  0.800 3.892  4.339 11.2   0.024 0.00 13.969 14.005 13.990 13.982 14.077 14.196 13.937  1.535
 1   6.81 -0.07  5.44792  2.852 4.252  4.278 13.2   0.035 0.00 10.841 12.640 12.290 12.688 12.995 13.272 12.413  5.448
 1   6.81 -0.01  7.70283  3.393 4.330  4.198 14.2   0.037 0.00 10.488 12.741 12.363 12.797 13.126 13.426 12.502  7.703
 1   6.81  0.01  3.37201  2.089 4.119  4.298 13.4   0.035 0.00 12.946 13.944 13.645 13.980 14.251 14.481 13.739  3.372
 1   6.81  0.05  4.74447  2.631 4.208  4.263 12.4   0.031 0.00 10.593 12.109 11.773 12.154 12.450 12.715 11.889  4.744
 1   6.81  0.07  4.06706  2.387 4.165  4.269 11.9   0.028 0.00 10.704 11.958 11.637 11.998 12.284 12.534 11.745  4.067
 1   6.81  0.11  1.33342  0.444 3.815  4.323 10.3   0.018 0.00 13.959 13.907 14.133 13.852 13.824 13.867 14.000  1.333
 1   6.81  0.17  2.99065  1.880 4.069  4.256 12.4   0.031 0.00 12.470 13.175 12.893 13.208 13.468 13.677 12.977  2.991
 1   6.85 -0.09  2.21620  1.426 4.008  4.337 11.9   0.028 0.00 13.105 13.514 13.275 13.538 13.768 13.952 13.325  2.216
 1   6.85 -0.05  7.34776  3.324 4.322  4.213 12.5   0.032 0.00  8.961 11.165 10.788 11.221 11.548 11.846 10.927  7.348
 1   6.85  0.13  9.40446  3.623 4.375  4.235 10.3   0.018 0.00  6.013  8.487  8.089  8.547  8.892  9.210  8.237  9.404
 1   6.85  0.19  8.07668  3.416 4.334  4.211 13.2   0.035 0.00  9.430 11.670 11.288 11.727 12.060 12.365 11.430  8.077
 1   6.85  0.35 12.94266  4.062 4.446  4.218 12.7   0.033 0.00  7.315 10.163  9.748 10.230 10.590 10.925  9.905 12.943
 1   6.91 -0.09  2.96908  1.909 4.095  4.329 10.0   0.017 0.00  9.997 10.853 10.559 10.887 11.155 11.377 10.646  2.969
 1   6.91 -0.01  2.96299  1.889 4.085  4.306 13.0   0.034 0.00 13.047 13.856 13.570 13.889 14.151 14.366 13.655  2.963
 1   6.91  0.05 10.50905  3.867 4.395  4.120 11.1   0.023 0.00  6.201  8.800  8.399  8.862  9.209  9.531  8.550 10.509
 1   6.91  0.05  4.10747  2.404 4.169  4.269 13.2   0.035 0.00 11.959 13.242 12.922 13.283 13.567 13.818 13.029  4.107
 1   6.95 -0.17  4.46615  2.562 4.212  4.318 13.5   0.036 0.00 11.864 13.425 13.092 13.469 13.764 14.027 13.205  4.466
 1   6.95 -0.05  3.08481  1.962 4.101  4.314 12.9   0.034 0.00 12.765 13.663 13.372 13.698 13.964 14.186 13.460  3.085
 1   6.95  0.05  1.72994  0.966 3.905  4.277  6.8   0.005 0.00  9.154  9.172  9.113  9.155  9.280  9.417  9.075  1.730
 1   6.95  0.05 12.86304  4.227 4.431  3.991 14.2   0.037 0.00  8.402 11.202 10.793 11.267 11.620 11.948 10.949 12.846
 1   6.95  0.15  2.65975  1.682 4.035  4.265 12.3   0.031 0.00 12.865 13.393 13.131 13.421 13.668 13.861 13.199  2.660
 1   6.95  0.17  6.13604  3.058 4.265  4.176 13.2   0.035 0.00 10.326 12.166 11.805 12.217 12.532 12.815 11.937  6.136
 1   6.95  0.19  3.62255  2.193 4.121  4.236 13.0   0.034 0.00 12.289 13.279 12.975 13.316 13.591 13.823 13.075  3.623
 1   6.95  0.25  1.98830  1.178 3.937  4.253 11.3   0.025 0.00 13.126 13.217 13.081 13.216 13.388 13.544 13.077  1.988
 1   6.95  0.33 18.30383  4.685 4.495  3.941 12.9   0.034 0.00  5.958  9.043  8.614  9.115  9.481  9.827  8.778 18.247
 1   6.97 -0.25  2.63736  1.747 4.080  4.380 11.3   0.025 0.00 11.704 12.496 12.212 12.529 12.789 13.002 12.292  2.637
 1   6.97 -0.13  6.93946  3.252 4.313  4.226 10.6   0.020 0.00  7.241  9.393  9.016  9.448  9.774 10.072  9.153  6.939
 1   6.97  0.03 14.82932  4.521 4.440  3.790 12.0   0.029 0.00  5.467  8.286  7.873  8.352  8.708  9.039  8.031 14.755
 1   6.97  0.05 12.75993  4.225 4.429  3.979 12.0   0.029 0.00  6.208  8.985  8.575  9.050  9.404  9.733  8.731 12.745
 1   6.97  0.21  2.11989  1.288 3.958  4.255 11.9   0.028 0.00 13.450 13.617 13.439 13.626 13.822 13.987 13.455  2.120
 1   7.01 -0.35  5.09851  2.787 4.258  4.336 13.9   0.037 0.00 11.703 13.561 13.213 13.610 13.917 14.193 13.334  5.099
 1   7.01 -0.11  2.57413  1.677 4.056  4.340 12.3   0.031 0.00 12.877 13.532 13.261 13.563 13.815 14.016 13.334  2.574
 1   7.01  0.03  1.54206  0.747 3.864  4.281 10.8   0.021 0.00 13.703 13.690 13.757 13.654 13.705 13.798 13.677  1.542
 1   7.01  0.41  1.94334  1.138 3.929  4.251 11.9   0.028 0.00 13.825 13.885 13.770 13.878 14.042 14.195 13.756  1.943
 1   7.05 -0.03  4.15801  2.434 4.178  4.281 13.7   0.036 0.00 12.385 13.732 13.411 13.774 14.060 14.312 13.518  4.158
 1   7.05  0.01  3.69419  2.240 4.142  4.282 13.1   0.034 0.00 12.271 13.403 13.094 13.441 13.718 13.958 13.194  3.694
 1   7.05  0.15  4.36118  2.500 4.176  4.228 12.9   0.034 0.00 11.420 12.730 12.405 12.772 13.060 13.314 12.516  4.361
 1   7.05  0.27  4.58055  2.580 4.186  4.208 13.2   0.035 0.00 11.519 12.871 12.540 12.915 13.208 13.467 12.657  4.581
 1   7.05  0.35  5.73738  2.953 4.244  4.168 13.6   0.036 0.00 10.988 12.674 12.318 12.725 13.037 13.316 12.449  5.737
 1   7.05  0.43  2.39673  1.502 3.997  4.252 11.9   0.028 0.00 12.915 13.238 13.003 13.259 13.489 13.671 13.054  2.397
 1   7.07 -0.23  5.12914  2.786 4.248  4.299 13.1   0.034 0.00 10.904 12.688 12.342 12.736 13.041 13.316 12.463  5.129
 1   7.07  0.15  1.56719  0.752 3.857  4.257  9.9   0.016 0.00 12.789 12.754 12.841 12.713 12.757 12.847 12.754  1.567
 1   7.07  0.19  2.10163  1.274 3.956  4.255 10.2   0.018 0.00 11.786 11.935 11.757 11.943 12.138 12.303 11.772  2.102
 1   7.07  0.35  3.76528  2.255 4.131  4.228 11.4   0.025 0.00 10.532 11.552 11.237 11.590 11.871 12.111 11.345  3.765
 1   7.07  0.39  5.14902  2.777 4.217  4.185 11.0   0.023 0.00  8.828 10.334  9.982 10.381 10.688 10.962 10.111  5.149
 1   7.11 -0.11  7.99078  3.509 4.339  4.135 14.7   0.038 0.00 10.698 13.012 12.632 13.069 13.400 13.702 12.773  7.991
 1   7.11 -0.07  3.02604  1.938 4.097  4.316 12.8   0.033 0.00 12.725 13.604 13.314 13.639 13.904 14.124 13.401  3.026
 1   7.11  0.09  6.74712  3.226 4.290  4.145 12.8   0.033 0.00  9.506 11.500 11.132 11.553 11.873 12.163 11.267  6.747
 1   7.11  0.21  3.40058  2.091 4.102  4.232 11.8   0.028 0.00 11.342 12.217 11.918 12.252 12.523 12.748 12.014  3.401
 1   7.11  0.23  6.86690  3.267 4.288  4.107 10.5   0.020 0.00  7.101  9.053  8.678  9.106  9.431  9.725  8.817  6.867
 1   7.11  0.29  4.17958  2.428 4.160  4.216 12.7   0.033 0.00 11.400 12.596 12.274 12.638 12.924 13.174 12.386  4.180
 1   7.13  0.25  1.50847  0.669 3.841  4.257  9.6   0.015 0.00 12.697 12.640 12.783 12.591 12.609 12.684 12.676  1.508
 1   7.15 -0.01  9.19336  3.788 4.359  3.996 11.1   0.023 0.00  6.401  8.800  8.408  8.859  9.198  9.509  8.555  9.193
 1   7.17 -0.05  4.17571  2.447 4.179  4.275 11.0   0.023 0.00  9.653 10.998 10.672 11.039 11.328 11.583 10.781  4.176
 1   7.17 -0.01  5.62802  2.923 4.250  4.211 11.3   0.025 0.00  8.762 10.531 10.177 10.579 10.888 11.166 10.303  5.628
 1   7.17  0.07  5.19816  2.798 4.226  4.206 13.2   0.035 0.00 10.975 12.595 12.253 12.642 12.944 13.213 12.374  5.198
 1   7.17  0.19  3.49664  2.142 4.110  4.226 12.6   0.032 0.00 12.015 12.942 12.641 12.978 13.249 13.477 12.738  3.497
 1   7.17  0.25 17.38706  4.912 3.581  0.031 10.5   0.020 0.00  2.990  3.681  5.247  3.720  3.098  2.702  4.840 17.182
