#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.61 -0.15 10.79103  3.866 4.410  4.192 12.0   0.037 0.00  7.105  9.822  9.421  9.885 10.232 10.554  9.573 10.786
 1   6.67 -0.05  1.10608  0.069 3.775  4.461  8.6   0.020 0.00 13.198 13.157 13.513 13.094 13.003 12.999 13.339  1.106
 1   6.75  0.25  6.53161  3.143 4.282  4.183 10.8   0.033 0.00  7.714  9.633  9.266  9.687 10.008 10.298  9.401  6.532
 1   6.75  0.35  3.92271  2.318 4.145  4.239 10.2   0.030 0.00  9.176 10.278  9.959 10.318 10.601 10.847 10.070  3.923
 1   6.81  0.13  5.11196  2.752 4.222  4.231 10.6   0.032 0.00  8.490 10.078  9.735 10.125 10.427 10.697  9.857  5.112
 1   6.91 -0.09  3.11486  1.984 4.108  4.326 10.2   0.030 0.00 10.009 10.949 10.654 10.985 11.253 11.479 10.744  3.115
 1   6.91  0.23  3.11741  1.943 4.077  4.245 12.5   0.037 0.00 12.414 13.163 12.878 13.196 13.458 13.671 12.965  3.117
 1   6.95 -0.13  5.48937  2.877 4.258  4.277 10.0   0.029 0.00  7.577  9.406  9.053  9.456  9.765 10.044  9.178  5.489
 1   6.97  0.21  1.48629  0.640 3.837  4.263  8.9   0.022 0.00 12.070 12.020 12.178 11.971 11.980 12.049 12.067  1.486
 1   7.17 -0.03  1.67739  0.922 3.903  4.299  8.2   0.017 0.00 10.665 10.696 10.648 10.678 10.796 10.927 10.606  1.677
 1   7.17  0.01  4.46055  2.546 4.191  4.253 11.8   0.036 0.00 10.204 11.627 11.301 11.670 11.960 12.217 11.412  4.461
 1   7.21  0.05  2.31321  1.463 4.002  4.294  9.1   0.023 0.00 10.213 10.578 10.341 10.601 10.831 11.013 10.390  2.313
 1   7.23 -0.03  2.35834  1.514 4.018  4.315 11.5   0.036 0.00 12.485 12.945 12.699 12.971 13.206 13.392 12.756  2.358
 1   7.25 -0.13 11.96381  4.394 4.329  3.382 12.6   0.037 0.00  6.386  8.607  8.232  8.662  8.989  9.285  8.374 11.918
 1   7.27 -0.21  1.39566  0.624 3.860  4.346  9.6   0.026 0.00 12.809 12.820 12.896 12.786 12.825 12.910 12.816  1.396
 1   7.27 -0.15  4.19653  2.474 4.189  4.287 11.7   0.036 0.00 10.285 11.706 11.382 11.748 12.037 12.292 11.490  4.197
 1   7.37  0.05  2.53160  1.620 4.030  4.286 10.5   0.031 0.00 11.220 11.730 11.473 11.758 12.001 12.192 11.537  2.532
 1   7.37  0.15  1.64065  0.840 3.873  4.251 10.0   0.029 0.00 12.669 12.657 12.701 12.623 12.691 12.795 12.627  1.641
 1   7.41 -0.27  1.64896  0.962 3.931  4.363 10.5   0.031 0.00 12.865 12.980 12.864 12.977 13.132 13.279 12.849  1.649
 1   7.41  0.07  2.11987  1.313 3.972  4.285 10.4   0.031 0.00 11.888 12.120 11.922 12.135 12.341 12.511 11.948  2.120
 1   7.45 -0.01  5.83727  3.040 4.252  4.117  8.6   0.020 0.00  5.769  7.542  7.185  7.590  7.901  8.180  7.313  5.837
 1   7.45  0.19  5.19259  2.835 4.211  4.107 13.0   0.038 0.00 10.683 12.194 11.855 12.240 12.539 12.803 11.976  5.193
 1   7.47 -0.31  3.28514  2.122 4.141  4.341 12.9   0.038 0.00 12.364 13.515 13.211 13.553 13.827 14.063 13.306  3.285
 1   7.47  0.11  2.70329  1.719 4.040  4.259 10.9   0.033 0.00 11.373 11.936 11.671 11.965 12.213 12.408 11.742  2.703
 1   7.51 -0.05  2.16000  1.378 3.993  4.312 11.8   0.036 0.00 13.124 13.463 13.241 13.484 13.704 13.880 13.282  2.160
 1   7.53  0.31  1.39422  0.518 3.820  4.289  8.0   0.016 0.00 11.474 11.403 11.620 11.345 11.329 11.382 11.489  1.394
 1   7.55 -0.17  1.43003  0.663 3.864  4.333  8.3   0.018 0.00 11.414 11.416 11.479 11.382 11.430 11.522 11.402  1.430
 1   7.55  0.09  4.45399  2.578 4.177  4.162 10.9   0.033 0.00  9.226 10.547 10.222 10.589 10.877 11.129 10.334  4.454
