#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.67  0.45  2.50572  1.576 4.012  4.255  8.4   0.032 0.00  9.231  9.624  9.377  9.649  9.887 10.075  9.437  2.506
 1   6.81 -0.39  2.93916  1.952 4.129  4.416 10.7   0.038 0.00 10.590 11.679 11.381 11.716 11.987 12.218 11.472  2.939
 1   7.35  0.17  2.93998  1.855 4.061  4.240  6.7   0.021 0.00  6.833  7.485  7.204  7.517  7.776  7.982  7.286  2.940
 1   7.61 -0.01  1.44621  0.635 3.847  4.297  8.3   0.031 0.00 11.483 11.469 11.590 11.428 11.448 11.521 11.493  1.446
 1   7.81  0.09  0.29972 -1.913 3.556  4.998  3.2   0.006 0.00 12.751 13.476 15.066 13.693 12.805 12.284 14.904  0.300
 1   7.83  0.51  1.44642  0.591 3.829  4.269 10.5   0.037 0.00 13.791 13.723 13.926 13.665 13.662 13.726 13.797  1.446
 1   7.87 -0.31  0.91367 -0.241 3.749  4.582  8.6   0.033 0.00 13.973 13.970 14.418 13.906 13.769 13.727 14.222  0.914
 1   7.99  0.33  1.22150  0.244 3.787  4.373  6.1   0.018 0.00 10.260 10.186 10.527 10.117 10.048 10.064 10.358  1.221
 1   8.01  0.07  0.95891 -0.254 3.732  4.546  7.5   0.026 0.00 12.904 12.896 13.437 12.821 12.663 12.605 13.237  0.959
 1   8.05 -0.13  2.37639  1.575 4.023  4.279  8.3   0.031 0.00  9.132  9.620  9.369  9.647  9.886 10.073  9.429  2.376
 1   8.05  0.45  1.52728  0.701 3.844  4.242  9.0   0.034 0.00 12.018 11.959 12.107 11.908 11.929 12.008 11.996  1.527
 1   8.13 -0.05  1.03405 -0.077 3.757  4.503  9.1   0.035 0.00 14.062 14.042 14.474 13.975 13.853 13.824 14.282  1.034
 1   8.21  0.19  2.04178  1.247 3.939  4.205  8.8   0.034 0.00 10.454 10.563 10.422 10.564 10.739 10.892 10.421  2.042
 1   8.27  0.11  1.92141  1.157 3.930  4.229  8.9   0.034 0.00 10.778 10.866 10.748 10.863 11.023 11.170 10.736  1.921
 1   8.31 -0.05  0.92905 -0.296 3.730  4.566  8.1   0.030 0.00 13.610 13.613 14.154 13.540 13.377 13.315 13.953  0.929
 1   8.35 -0.01  3.91680  2.626 3.668  2.022  8.3   0.031 0.00  6.504  6.651  7.496  6.576  6.305  6.150  7.178  3.917
 1   8.35 -0.01  3.22007  2.189 4.046  3.885  9.0   0.034 0.00  8.296  8.893  8.622  8.924  9.174  9.361  8.702  3.220
 1   8.35  0.31  3.04387  2.036 4.021  3.915  9.1   0.035 0.00  8.779  9.229  8.969  9.257  9.500  9.680  9.042  3.044
 1   8.41 -0.01  3.05372  2.101 4.028  3.879 10.0   0.037 0.00  9.517 10.026  9.765 10.054 10.297 10.475  9.838  3.054
 1   8.41  0.09  2.71088  1.830 4.008  4.019  8.9   0.034 0.00  9.095  9.495  9.250  9.521  9.755  9.930  9.311  2.711
 1   8.47 -0.03  3.47328  2.356 3.691  2.333 11.6   0.038 0.00 10.481 10.560 11.284 10.484 10.255 10.138 10.988  3.473
 1   8.51  0.37  1.10863  0.044 3.764  4.440  8.9   0.034 0.00 13.559 13.506 13.946 13.430 13.324 13.310 13.754  1.109
 1   8.53 -0.07  1.19079  0.262 3.799  4.396  8.7   0.033 0.00 12.816 12.788 13.062 12.733 12.675 12.695 12.915  1.191
 1   8.55 -0.03  1.06515  0.010 3.767  4.468  8.3   0.031 0.00 13.046 13.017 13.412 12.952 12.846 12.829 13.228  1.065
 1   8.55  0.09  1.15353  0.156 3.780  4.411  9.3   0.035 0.00 13.680 13.641 13.994 13.577 13.492 13.493 13.821  1.153
 1   8.59 -0.07  1.03392 -0.050 3.761  4.492  9.1   0.035 0.00 13.994 13.973 14.389 13.908 13.792 13.768 14.200  1.034
 1   8.59  0.07  1.25870  0.356 3.803  4.340  7.6   0.027 0.00 11.479 11.435 11.700 11.377 11.329 11.357 11.555  1.259
 1   8.59  0.25  1.15544  0.137 3.774  4.406  8.6   0.033 0.00 13.027 12.975 13.362 12.904 12.813 12.810 13.181  1.155
 1   8.61  0.09  0.58756 -1.178 3.614  4.786  4.5   0.010 0.00 12.215 12.612 13.821 12.610 12.108 11.807 13.823  0.588
 1   8.63  0.39  1.11359  0.058 3.765  4.433  8.5   0.032 0.00 13.125 13.069 13.504 12.993 12.889 12.878 13.313  1.114
 1   8.65  0.15  1.77251  1.027 3.890  4.165  5.9   0.017 0.00  8.102  8.096  8.082  8.071  8.172  8.294  8.029  1.772
 1   8.67 -0.23  0.99432 -0.082 3.765  4.524  8.5   0.032 0.00 13.476 13.462 13.853 13.400 13.288 13.266 13.671  0.994
 1   8.67  0.07  1.16485  0.190 3.784  4.398  6.3   0.019 0.00 10.596 10.544 10.875 10.482 10.406 10.414 10.709  1.165
 1   8.67  0.19  1.56947  0.781 3.849  4.194 10.5   0.037 0.00 13.317 13.288 13.408 13.244 13.270 13.349 13.309  1.569
