#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.61  0.05  4.17254  2.424 4.175  4.280 12.3   0.031 0.00 11.010 12.324 12.001 12.365 12.652 12.906 12.110  4.173
 1   6.61  0.09  4.16430  2.419 4.171  4.269 12.6   0.032 0.00 11.323 12.610 12.288 12.652 12.938 13.190 12.397  4.164
 1   6.61  0.09  3.05572  1.923 4.084  4.282 12.9   0.034 0.00 12.863 13.657 13.370 13.691 13.954 14.168 13.456  3.056
 1   6.61  0.11  5.16020  2.760 4.228  4.247 13.3   0.035 0.00 11.170 12.794 12.450 12.842 13.144 13.415 12.572  5.160
 1   6.61  0.23  5.27901  2.799 4.228  4.218 13.0   0.034 0.00 10.772 12.376 12.029 12.425 12.729 13.002 12.154  5.279
 1   6.61  0.25  3.14503  1.955 4.081  4.249 13.1   0.034 0.00 12.982 13.744 13.457 13.778 14.041 14.256 13.545  3.145
 1   6.61  0.31  5.27282  2.798 4.227  4.218 12.2   0.030 0.00  9.976 11.564 11.212 11.612 11.919 12.194 11.340  5.273
 1   6.61  0.49  2.17276  1.329 3.966  4.257 12.0   0.029 0.00 13.446 13.627 13.436 13.638 13.844 14.016 13.460  2.173
 1   6.67 -0.09  7.24022  3.292 4.324  4.249 13.3   0.035 0.00  9.841 12.068 11.692 12.124 12.451 12.750 11.830  7.240
 1   6.67 -0.05  5.11480  2.751 4.237  4.290 13.3   0.035 0.00 11.191 12.897 12.553 12.944 13.247 13.519 12.673  5.115
 1   6.67  0.07 11.93600  4.009 4.430  4.173 14.1   0.037 0.00  8.847 11.648 11.240 11.713 12.066 12.394 11.395 11.936
 1   6.67  0.43  4.98595  2.713 4.213  4.219 11.7   0.027 0.00  9.687 11.168 10.818 11.216 11.521 11.793 10.946  4.986
 1   6.75 -0.13  3.78357  2.297 4.166  4.329 13.5   0.036 0.00 12.528 13.812 13.496 13.852 14.135 14.382 13.600  3.784
 1   6.75  0.13  2.16905  1.340 3.974  4.274  9.7   0.015 0.00 11.119 11.340 11.133 11.355 11.567 11.740 11.163  2.169
 1   6.75  0.39  3.65120  2.201 4.124  4.241 13.2   0.035 0.00 12.467 13.451 13.142 13.489 13.766 14.003 13.247  3.651
 1   6.75  0.39  6.00820  3.012 4.261  4.194 14.0   0.037 0.00 11.239 13.017 12.654 13.069 13.387 13.672 12.789  6.008
 1   6.81 -0.21  3.22673  2.062 4.132  4.361 12.5   0.032 0.00 12.116 13.205 12.902 13.243 13.516 13.751 12.997  3.227
 1   6.81 -0.17  5.07760  2.756 4.245  4.313 12.9   0.034 0.00 10.780 12.541 12.194 12.588 12.893 13.167 12.315  5.078
 1   6.81 -0.11  8.09230  3.471 4.347  4.209 12.8   0.033 0.00  8.891 11.249 10.865 11.307 11.640 11.946 11.007  8.092
