#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.95  0.21  5.18199  2.780 4.220  4.197 10.4   0.031 0.00  8.219  9.777  9.432  9.824 10.127 10.398  9.556  5.182
 1   6.97 -0.11  2.48646  1.623 4.046  4.342  7.9   0.016 0.00  8.613  9.205  8.934  9.234  9.486  9.686  9.005  2.486
 1   6.97  0.01  1.60074  0.825 3.880  4.284  9.2   0.024 0.00 11.906 11.911 11.930 11.882 11.961 12.070 11.866  1.601
 1   6.97  0.29  2.59404  1.632 4.021  4.252 12.3   0.037 0.00 12.990 13.447 13.195 13.473 13.714 13.903 13.258  2.594
 1   7.01 -0.27  1.31684  0.509 3.847  4.383  9.4   0.025 0.00 12.898 12.905 13.019 12.866 12.881 12.952 12.927  1.317
 1   7.01  0.07  2.40968  1.530 4.014  4.291  7.9   0.016 0.00  8.845  9.260  9.010  9.285  9.523  9.711  9.067  2.410
 1   7.01  0.37  1.88422  1.086 3.919  4.248 11.6   0.036 0.00 13.655 13.699 13.614 13.687 13.834 13.978 13.588  1.884
 1   7.05 -0.09  8.00426  3.496 4.340  4.149 12.0   0.037 0.00  8.030 10.343  9.962 10.400 10.730 11.033 10.103  8.004
 1   7.05  0.25  6.05668  3.047 4.259  4.155 11.7   0.036 0.00  8.853 10.641 10.282 10.692 11.007 11.289 10.414  6.057
 1   7.11 -0.15  3.79371  2.309 4.166  4.316 10.9   0.033 0.00  9.897 11.177 10.861 11.218 11.500 11.748 10.965  3.794
 1   7.15 -0.03  2.65169  1.707 4.053  4.313 10.6   0.032 0.00 11.104 11.741 11.470 11.771 12.023 12.223 11.543  2.652
 1   7.17 -0.03  0.91694 -0.333 3.724  4.576  5.7   0.007 0.00 11.302 11.290 11.847 11.216 11.049 10.985 11.649  0.917
 1   7.23  0.13  2.50769  1.591 4.019  4.267 11.2   0.035 0.00 11.992 12.444 12.195 12.470 12.708 12.895 12.255  2.508
 1   7.25  0.11  2.33498  1.469 3.998  4.276 11.0   0.034 0.00 12.097 12.448 12.218 12.470 12.696 12.875 12.265  2.335
 1   7.25  0.23  2.00807  1.196 3.940  4.251 11.2   0.035 0.00 12.980 13.090 12.950 13.090 13.265 13.420 12.948  2.008
 1   7.29  0.03  1.68804  0.921 3.898  4.282 10.3   0.030 0.00 12.768 12.797 12.768 12.776 12.884 13.009 12.719  1.688
 1   7.29  0.31  1.35265  0.455 3.812  4.309 10.3   0.030 0.00 13.933 13.872 14.121 13.812 13.781 13.823 13.979  1.353
