nothing,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,comp.,mbol,Kepler,g,r,i,z,DDO51_finf,Mact
,1,6.81,0.35,1.39860,0.523,3.821,4.290,10.10,0.000,1,13.562,13.473,13.685,13.415,13.404,13.462,13.555,1.399
,1,6.81,0.35,0.92257,-0.368,3.711,4.562,10.10,0.000,2,15.790,15.784,16.439,15.699,15.512,15.436,16.266,0.923
,1,6.97,-0.33,4.74810,2.674,4.240,4.348,10.70,0.000,0,8.784,10.504,10.149,10.550,10.859,11.137,10.271,4.748
,1,7.05,-0.15,1.94842,1.236,3.975,4.339,11.00,0.000,0,12.680,12.912,12.700,12.928,13.141,13.317,12.730,1.948
,1,7.07,0.09,4.14228,2.419,4.167,4.248,9.70,0.000,0,8.422,9.655,9.323,9.695,9.986,10.243,9.435,4.142
,1,7.21,0.13,6.74397,3.250,4.285,4.103,7.80,0.000,1,4.446,6.377,5.998,6.429,6.755,7.050,6.137,6.744
,1,7.21,0.13,3.30712,2.051,4.099,4.249,7.80,0.000,2,7.442,8.285,7.979,8.319,8.593,8.822,8.075,3.307
,1,7.23,0.33,1.22665,0.244,3.787,4.375,9.30,0.000,1,13.461,13.371,13.707,13.303,13.237,13.256,13.540,1.227
,1,7.23,0.33,0.65233,-1.033,3.628,4.743,9.30,0.000,2,16.653,16.993,18.132,16.969,16.519,16.253,18.138,0.652
,1,7.25,-0.11,1.45682,0.678,3.863,4.320,9.30,0.000,0,12.374,12.355,12.416,12.320,12.370,12.465,12.340,1.457
,1,7.31,-0.09,7.76746,3.527,4.324,4.042,14.10,0.000,0,10.052,12.240,11.851,12.295,12.629,12.933,11.994,7.767
,1,7.33,-0.03,6.23714,3.129,4.273,4.141,11.20,0.000,0,8.147,10.031,9.660,10.081,10.401,10.690,9.794,6.237
,1,7.37,0.21,7.15624,3.406,4.288,3.984,14.30,0.000,0,10.554,12.486,12.105,12.539,12.867,13.164,12.246,7.156
,1,7.41,0.25,2.12871,1.298,3.959,4.250,11.90,0.000,0,13.426,13.568,13.379,13.577,13.780,13.951,13.399,2.129
,1,7.41,0.41,3.24166,2.015,4.085,4.219,8.70,0.000,0,8.432,9.172,8.868,9.206,9.480,9.705,8.966,3.242
,1,7.45,0.11,1.72852,0.950,3.897,4.261,7.20,0.000,0,9.596,9.591,9.554,9.568,9.683,9.814,9.508,1.728
,1,7.53,0.03,2.05141,1.265,3.966,4.294,9.80,0.000,1,11.408,11.592,11.393,11.604,11.810,11.982,11.417,2.051
,1,7.53,0.03,1.35296,0.494,3.824,4.316,9.80,0.000,2,13.335,13.278,13.462,13.228,13.216,13.271,13.344,1.353
,1,7.53,0.09,1.10326,0.032,3.767,4.461,8.70,0.000,0,13.389,13.325,13.718,13.257,13.158,13.150,13.536,1.103
,1,7.53,0.27,2.36514,1.487,3.992,4.241,10.90,0.000,0,11.953,12.238,12.001,12.258,12.489,12.672,12.050,2.365
,1,7.55,0.23,2.32694,1.459,3.987,4.241,9.10,0.000,0,10.222,10.486,10.255,10.505,10.731,10.913,10.300,2.327
,1,7.57,-0.09,1.55744,0.802,3.884,4.310,10.00,0.000,1,12.765,12.763,12.764,12.736,12.823,12.939,12.706,1.557
,1,7.57,-0.09,0.29933,-1.888,3.566,5.011,10.00,0.000,2,19.491,20.124,21.648,20.281,19.487,19.016,21.532,0.299
,1,7.61,0.23,1.55578,0.730,3.850,4.246,8.70,0.000,1,11.645,11.582,11.689,11.537,11.572,11.659,11.594,1.556
,1,7.61,0.23,1.47962,0.634,3.835,4.261,8.70,0.000,2,11.886,11.815,11.970,11.764,11.775,11.847,11.860,1.480
,1,7.63,0.03,2.47557,1.591,4.023,4.280,10.90,0.000,0,11.692,12.144,11.881,12.171,12.416,12.610,11.945,2.476
,1,7.65,-0.25,1.57560,0.874,3.910,4.350,10.70,0.000,0,13.286,13.331,13.258,13.318,13.447,13.585,13.225,1.576
,1,7.65,0.15,3.61998,2.225,4.115,4.178,10.90,0.000,1,10.108,11.037,10.724,11.073,11.351,11.586,10.825,3.620
,1,7.65,0.15,3.17695,2.001,4.081,4.207,10.90,0.000,2,10.667,11.407,11.109,11.440,11.709,11.929,11.200,3.177
,1,7.69,-0.13,5.22324,2.921,4.225,4.081,10.80,0.000,1,8.267,9.873,9.521,9.919,10.225,10.497,9.644,5.223
,1,7.69,-0.13,2.78265,1.823,4.074,4.300,10.80,0.000,2,11.013,11.738,11.447,11.771,12.035,12.249,11.531,2.783
,1,7.69,0.03,1.34239,0.478,3.821,4.320,9.20,0.000,0,12.775,12.718,12.909,12.667,12.652,12.704,12.789,1.342
,1,7.69,0.03,1.52262,0.724,3.858,4.276,10.50,0.000,0,13.459,13.423,13.498,13.385,13.431,13.523,13.416,1.523
,1,7.71,0.05,3.54053,2.202,4.117,4.197,9.30,0.000,0,8.564,9.513,9.201,9.549,9.827,10.061,9.301,3.541
,1,7.73,0.37,2.19242,1.357,3.967,4.237,11.00,0.000,0,12.379,12.546,12.342,12.558,12.769,12.945,12.371,2.192
,1,7.75,0.19,1.39530,0.523,3.820,4.287,8.10,0.000,0,11.563,11.489,11.692,11.434,11.420,11.475,11.566,1.395
,1,7.75,0.31,1.39862,0.527,3.821,4.285,9.70,0.000,1,13.154,13.068,13.278,13.011,12.999,13.056,13.149,1.399
,1,7.75,0.31,0.32132,-1.865,3.555,4.978,9.70,0.000,2,19.133,19.870,21.465,20.101,19.194,18.664,21.296,0.321
,1,7.77,-0.41,1.42527,0.728,3.889,4.367,10.10,0.000,0,13.049,13.079,13.063,13.057,13.147,13.264,13.012,1.425
,1,7.77,0.23,6.13142,3.376,4.172,3.482,10.50,0.000,0,6.831,8.067,7.729,8.109,8.403,8.655,7.853,6.131
,1,7.79,0.17,1.27571,0.341,3.799,4.345,9.60,0.000,1,13.517,13.439,13.716,13.378,13.330,13.361,13.566,1.276
,1,7.79,0.17,0.28031,-1.981,3.548,5.006,9.60,0.000,2,19.322,20.087,21.729,20.333,19.400,18.856,21.541,0.280
,1,7.79,0.29,3.67439,2.266,4.110,4.125,8.80,0.000,0,7.906,8.795,8.481,8.831,9.110,9.344,8.585,3.674
,1,7.79,0.35,1.01491,-0.160,3.739,4.507,8.60,0.000,1,13.769,13.713,14.241,13.632,13.493,13.455,14.044,1.015
,1,7.79,0.35,0.50891,-1.384,3.591,4.840,8.60,0.000,2,16.831,17.425,18.792,17.570,16.820,16.381,18.727,0.509
,1,7.81,-0.21,1.79717,1.105,3.953,4.347,9.60,0.000,1,11.607,11.758,11.581,11.766,11.956,12.122,11.592,1.797
,1,7.81,-0.21,0.59023,-1.110,3.629,4.783,9.60,0.000,2,17.146,17.433,18.520,17.386,16.986,16.754,18.519,0.590
,1,7.81,0.11,4.76563,2.777,4.176,3.991,10.30,0.000,1,8.129,9.414,9.076,9.455,9.749,10.006,9.194,4.766
,1,7.81,0.11,2.60372,1.671,4.026,4.234,10.30,0.000,2,10.894,11.355,11.087,11.382,11.630,11.825,11.156,2.604
,1,7.83,0.01,1.50638,0.710,3.856,4.277,10.40,0.000,0,13.396,13.360,13.441,13.322,13.364,13.453,13.357,1.506
,1,7.85,-0.33,0.94479,-0.161,3.761,4.566,7.40,0.000,0,12.573,12.539,12.928,12.478,12.365,12.344,12.747,0.945
,1,7.85,-0.07,2.14119,1.373,3.990,4.302,8.30,0.000,1,9.638,9.934,9.703,9.953,10.178,10.359,9.745,2.141
,1,7.85,-0.07,0.92464,-0.304,3.729,4.571,8.30,0.000,2,13.829,13.807,14.337,13.735,13.576,13.519,14.139,0.925
,1,7.85,-0.01,1.25944,0.355,3.808,4.362,9.80,0.000,0,13.683,13.624,13.859,13.570,13.533,13.570,13.725,1.259
,1,7.85,0.05,2.16652,1.364,3.979,4.271,11.70,0.000,1,13.061,13.296,13.078,13.313,13.531,13.708,13.113,2.167
,1,7.85,0.05,1.42204,0.591,3.835,4.287,11.70,0.000,2,14.991,14.938,15.086,14.892,14.900,14.968,14.980,1.422
,1,7.85,0.21,2.05929,1.247,3.946,4.236,8.50,0.000,1,10.154,10.253,10.086,10.256,10.445,10.609,10.095,2.059
,1,7.85,0.21,2.03509,1.226,3.942,4.236,8.50,0.000,2,10.205,10.293,10.135,10.295,10.479,10.640,10.139,2.035
,1,7.89,-0.05,2.64781,1.729,4.046,4.262,11.40,0.000,1,11.848,12.422,12.143,12.451,12.706,12.908,12.218,2.648
,1,7.89,-0.05,1.89464,1.155,3.949,4.302,11.40,0.000,2,13.282,13.407,13.237,13.413,13.602,13.766,13.245,1.895
,1,7.89,0.15,0.84706,-0.535,3.689,4.603,7.50,0.000,1,13.607,13.668,14.413,13.587,13.355,13.243,14.285,0.847
,1,7.89,0.15,0.50341,-1.394,3.592,4.847,7.50,0.000,2,15.755,16.292,17.648,16.394,15.709,15.302,17.603,0.503
,1,7.89,0.41,0.63645,-1.073,3.624,4.755,4.40,0.000,1,11.852,12.227,13.396,12.221,11.735,11.447,13.399,0.636
,1,7.89,0.41,0.41665,-1.610,3.573,4.905,4.40,0.000,2,13.196,13.919,15.419,14.170,13.248,12.721,15.292,0.417
,1,7.91,-0.17,0.88220,-0.364,3.726,4.597,6.90,0.000,0,12.581,12.567,13.106,12.496,12.330,12.268,12.906,0.882
,1,7.91,0.25,1.36262,0.474,3.814,4.300,10.10,0.000,1,13.684,13.603,13.832,13.545,13.521,13.570,13.697,1.363
,1,7.91,0.25,1.25485,0.302,3.793,4.354,10.10,0.000,2,14.114,14.031,14.334,13.966,13.910,13.936,14.176,1.255
,1,7.91,0.35,4.15269,2.529,4.133,4.003,8.70,0.000,0,7.146,8.150,7.825,8.189,8.474,8.718,7.939,4.153
,1,7.93,-0.01,2.52870,1.647,4.029,4.256,10.40,0.000,0,11.053,11.536,11.269,11.563,11.812,12.007,11.336,2.529
,1,7.93,0.49,1.23587,0.268,3.789,4.365,9.90,0.000,0,13.999,13.896,14.232,13.825,13.765,13.791,14.064,1.236
,1,7.95,0.25,1.03867,-0.110,3.745,4.492,8.70,0.000,0,13.745,13.686,14.178,13.609,13.479,13.447,13.981,1.039
,1,7.97,-0.27,2.25189,1.515,4.029,4.337,8.20,0.000,0,9.184,9.680,9.416,9.707,9.952,10.147,9.480,2.252
,1,7.97,-0.19,1.64828,0.945,3.918,4.330,8.80,0.000,0,11.208,11.263,11.166,11.253,11.397,11.542,11.143,1.648
,1,7.97,0.05,1.25510,0.335,3.803,4.360,6.20,0.000,1,10.131,10.066,10.321,10.009,9.965,9.998,10.179,1.255
,1,7.97,0.05,0.30762,-1.887,3.559,4.997,6.20,0.000,2,15.688,16.385,17.950,16.588,15.723,15.215,17.803,0.308
,1,7.97,0.13,3.80317,2.374,4.115,4.050,11.20,0.000,0,10.036,10.964,10.651,11.000,11.278,11.511,10.754,3.803
,1,8.01,-0.21,1.71150,1.022,3.935,4.336,9.90,0.000,0,12.115,12.211,12.074,12.211,12.379,12.534,12.067,1.711
,1,8.01,0.13,2.77749,1.794,4.036,4.178,10.80,0.000,1,11.085,11.594,11.319,11.623,11.876,12.074,11.394,2.777
,1,8.01,0.13,0.64938,-1.030,3.629,4.743,10.80,0.000,2,18.144,18.457,19.571,18.419,17.998,17.751,19.582,0.649
,1,8.01,0.23,1.53320,0.707,3.845,4.242,10.90,0.000,1,13.901,13.835,13.958,13.788,13.815,13.898,13.858,1.533
,1,8.01,0.23,0.74169,-0.806,3.653,4.671,10.90,0.000,2,17.686,17.886,18.863,17.818,17.487,17.304,18.851,0.742
,1,8.01,0.39,1.75902,0.965,3.892,4.232,9.60,0.000,0,11.957,11.920,11.902,11.891,12.001,12.133,11.848,1.759
,1,8.03,-0.17,2.10629,1.375,3.996,4.315,10.60,0.000,0,11.934,12.260,12.024,12.281,12.509,12.692,12.069,2.106
,1,8.03,-0.09,4.74359,2.925,4.136,3.680,10.90,0.000,1,8.357,9.426,9.106,9.463,9.744,9.979,9.215,4.744
,1,8.03,-0.09,3.90107,2.471,4.135,4.043,10.90,0.000,2,9.492,10.556,10.238,10.593,10.874,11.113,10.342,3.901
,1,8.05,-0.11,2.92650,1.939,4.074,4.207,10.80,0.000,0,10.723,11.448,11.156,11.480,11.745,11.958,11.241,2.927
,1,8.05,0.17,2.56216,1.649,4.010,4.182,11.30,0.000,1,11.947,12.321,12.066,12.346,12.586,12.774,12.127,2.562
,1,8.05,0.17,1.79809,1.018,3.903,4.232,11.30,0.000,2,13.524,13.522,13.467,13.502,13.627,13.764,13.428,1.798
,1,8.07,-0.05,1.71058,0.972,3.911,4.290,10.40,0.000,0,12.739,12.772,12.693,12.758,12.893,13.034,12.663,1.710
,1,8.07,0.13,1.85047,1.076,3.917,4.243,9.50,0.000,0,11.579,11.608,11.512,11.597,11.744,11.890,11.489,1.850
,1,8.09,-0.17,1.30486,0.481,3.835,4.360,10.20,0.000,1,13.768,13.737,13.880,13.693,13.697,13.761,13.778,1.305
,1,8.09,-0.17,1.21680,0.320,3.814,4.407,10.20,0.000,2,14.169,14.128,14.338,14.078,14.048,14.089,14.214,1.217
,1,8.11,0.09,3.69072,2.364,4.097,3.976,6.90,0.000,0,5.759,6.594,6.287,6.628,6.901,7.124,6.386,3.691
,1,8.11,0.35,1.61468,0.808,3.861,4.229,11.10,0.000,0,13.851,13.784,13.860,13.742,13.798,13.899,13.774,1.615
,1,8.13,-0.11,1.26555,0.398,3.820,4.369,9.70,0.000,1,13.475,13.431,13.623,13.382,13.362,13.410,13.504,1.265
,1,8.13,-0.11,1.07209,0.025,3.773,4.480,9.70,0.000,2,14.408,14.355,14.712,14.292,14.200,14.195,14.538,1.072
,1,8.13,-0.03,1.38699,0.567,3.836,4.304,10.10,0.000,1,13.452,13.408,13.550,13.363,13.371,13.438,13.447,1.387
,1,8.13,-0.03,0.57077,-1.203,3.614,4.801,10.10,0.000,2,17.877,18.242,19.438,18.227,17.750,17.465,19.445,0.571
,1,8.13,-0.01,1.41708,0.604,3.840,4.291,10.10,0.000,0,13.360,13.316,13.447,13.272,13.286,13.358,13.347,1.417
,1,8.13,0.01,1.73749,0.988,3.909,4.273,10.90,0.000,0,13.200,13.225,13.152,13.210,13.342,13.481,13.119,1.737
,1,8.13,0.03,1.01734,-0.116,3.751,4.513,8.90,0.000,1,13.959,13.908,14.355,13.837,13.715,13.687,14.161,1.017
,1,8.13,0.03,0.70459,-0.871,3.648,4.696,8.90,0.000,2,15.848,16.064,17.045,15.998,15.660,15.472,17.043,0.705
,1,8.13,0.17,1.63009,0.832,3.867,4.233,9.50,0.000,0,12.190,12.146,12.198,12.109,12.173,12.277,12.122,1.630
,1,8.13,0.31,3.09406,2.006,4.051,4.071,9.50,0.000,1,9.256,9.824,9.536,9.854,10.117,10.320,9.623,3.094
,1,8.13,0.31,2.97882,1.934,4.042,4.091,9.50,0.000,2,9.435,9.959,9.677,9.988,10.247,10.447,9.759,2.979
,1,8.15,-0.17,1.92447,1.225,3.968,4.315,8.60,0.000,1,10.307,10.512,10.311,10.526,10.732,10.904,10.335,1.924
,1,8.15,-0.17,1.84241,1.149,3.954,4.318,8.60,0.000,2,10.498,10.650,10.471,10.658,10.851,11.016,10.483,1.842
,1,8.15,-0.11,3.93015,2.556,4.114,3.878,10.50,0.000,1,8.881,9.824,9.514,9.860,10.135,10.362,9.615,3.930
,1,8.15,-0.11,1.61087,0.884,3.898,4.300,10.50,0.000,2,13.061,13.075,13.034,13.055,13.167,13.296,12.990,1.611
,1,8.15,0.01,2.10518,1.333,3.970,4.255,9.10,0.000,1,10.536,10.739,10.532,10.754,10.965,11.137,10.561,2.105
,1,8.15,0.01,1.18887,0.233,3.793,4.396,9.10,0.000,2,13.287,13.223,13.513,13.164,13.104,13.124,13.361,1.189
,1,8.15,0.07,2.09130,1.310,3.962,4.241,9.40,0.000,1,10.894,11.059,10.865,11.070,11.274,11.443,10.887,2.091
,1,8.15,0.07,1.80450,1.046,3.915,4.255,9.40,0.000,2,11.554,11.585,11.494,11.573,11.717,11.861,11.469,1.804
,1,8.15,0.07,4.19566,2.692,4.085,3.654,9.60,0.000,1,7.640,8.404,8.103,8.437,8.706,8.918,8.202,4.196
,1,8.15,0.07,3.11314,2.038,4.063,4.090,9.60,0.000,2,9.274,9.925,9.635,9.957,10.220,10.427,9.721,3.113
,1,8.15,0.09,1.53579,0.736,3.856,4.257,10.20,0.000,1,13.131,13.086,13.171,13.045,13.088,13.178,13.085,1.536
,1,8.15,0.09,0.21700,-2.184,3.539,5.061,10.20,0.000,2,20.429,21.254,22.968,21.545,20.547,19.965,22.777,0.217
,1,8.15,0.15,2.99388,1.954,4.046,4.091,9.40,0.000,1,9.284,9.844,9.561,9.873,10.132,10.332,9.643,2.994
,1,8.15,0.15,0.94123,-0.311,3.721,4.551,9.40,0.000,2,14.947,14.929,15.518,14.850,14.680,14.614,15.326,0.941
,1,8.15,0.21,2.69772,1.750,4.017,4.131,10.70,0.000,0,11.095,11.501,11.238,11.527,11.772,11.961,11.305,2.698
,1,8.15,0.25,2.89853,1.884,4.034,4.096,10.00,0.000,1,10.060,10.548,10.271,10.576,10.830,11.026,10.349,2.899
,1,8.15,0.25,1.23065,0.266,3.789,4.365,10.00,0.000,2,14.104,14.021,14.341,13.955,13.893,13.914,14.178,1.231
,1,8.15,0.39,1.20219,0.214,3.783,4.382,9.40,0.000,0,13.636,13.543,13.896,13.472,13.401,13.418,13.725,1.202
,1,8.17,-0.21,1.58888,0.889,3.907,4.325,9.70,0.000,0,12.246,12.283,12.217,12.268,12.393,12.529,12.182,1.589
,1,8.17,0.03,2.22505,1.431,3.983,4.233,10.50,0.000,0,11.694,11.951,11.726,11.970,12.191,12.368,11.766,2.225
,1,8.17,0.45,1.17562,0.164,3.777,4.400,8.90,0.000,1,13.259,13.162,13.541,13.088,13.009,13.020,13.363,1.176
,1,8.17,0.45,0.14906,-2.355,3.496,4.896,8.90,0.000,2,19.557,20.708,22.791,21.262,19.916,19.132,22.554,0.149
,1,8.19,-0.13,1.78590,1.082,3.938,4.305,10.90,0.000,0,12.965,13.063,12.918,13.064,13.237,13.395,12.915,1.786
,1,8.19,0.05,3.88772,2.529,4.084,3.782,9.60,0.000,1,8.047,8.813,8.512,8.846,9.115,9.328,8.609,3.888
,1,8.19,0.05,1.56275,0.780,3.865,4.260,9.60,0.000,2,12.421,12.387,12.442,12.352,12.410,12.510,12.366,1.563
,1,8.19,0.19,1.13372,0.082,3.768,4.430,8.70,0.000,0,13.265,13.193,13.587,13.122,13.027,13.022,13.405,1.134
,1,8.19,0.19,3.93731,2.555,4.065,3.685,12.90,0.000,0,11.282,11.932,11.637,11.964,12.229,12.432,11.733,3.937
,1,8.19,0.29,1.24794,0.296,3.792,4.354,9.40,0.000,0,13.429,13.342,13.652,13.277,13.219,13.245,13.493,1.248
,1,8.19,0.29,1.46774,0.626,3.832,4.254,10.00,0.000,1,13.204,13.125,13.293,13.073,13.080,13.150,13.178,1.468
,1,8.19,0.29,0.29569,-1.937,3.550,4.993,10.00,0.000,2,19.612,20.366,21.994,20.603,19.683,19.146,21.808,0.296
,1,8.21,0.15,2.21544,1.404,3.968,4.196,10.20,0.000,1,11.460,11.643,11.438,11.656,11.867,12.039,11.467,2.215
,1,8.21,0.15,2.19120,1.384,3.965,4.199,10.20,0.000,2,11.509,11.681,11.480,11.693,11.901,12.071,11.507,2.191
,1,8.21,0.17,1.23181,0.270,3.790,4.366,7.90,0.000,1,11.996,11.920,12.229,11.856,11.794,11.815,12.070,1.232
,1,8.21,0.17,0.29285,-1.942,3.551,4.997,7.90,0.000,2,17.526,18.276,19.899,18.511,17.594,17.059,19.716,0.293
,1,8.23,-0.23,2.17055,1.461,4.008,4.290,10.90,0.000,1,12.018,12.406,12.158,12.429,12.664,12.851,12.211,2.171
,1,8.23,-0.23,0.45942,-1.446,3.600,4.893,10.90,0.000,2,19.285,19.680,20.953,19.686,19.157,18.841,20.944,0.459
,1,8.23,-0.21,1.72842,1.049,3.938,4.324,8.90,0.000,1,11.048,11.151,11.007,11.152,11.323,11.480,11.004,1.728
,1,8.23,-0.21,0.62778,-1.009,3.640,4.753,8.90,0.000,2,16.193,16.436,17.447,16.378,16.017,15.811,17.438,0.628
,1,8.23,-0.07,2.17763,1.422,3.988,4.251,9.10,0.000,1,10.316,10.600,10.371,10.620,10.844,11.023,10.413,2.178
,1,8.23,-0.07,1.71089,0.986,3.914,4.287,9.10,0.000,2,11.406,11.444,11.358,11.432,11.571,11.713,11.331,1.711
,1,8.23,0.01,2.29888,1.498,3.992,4.216,10.80,0.000,1,11.826,12.126,11.890,12.147,12.375,12.555,11.937,2.299
,1,8.23,0.01,2.10073,1.334,3.967,4.242,10.80,0.000,2,12.234,12.426,12.223,12.440,12.648,12.819,12.250,2.101
,1,8.23,0.11,2.03049,1.254,3.947,4.224,9.60,0.000,1,11.236,11.343,11.174,11.347,11.536,11.699,11.183,2.030
,1,8.23,0.11,1.36873,0.508,3.821,4.296,9.60,0.000,2,13.100,13.034,13.231,12.981,12.967,13.021,13.108,1.369
,1,8.23,0.27,0.90224,-0.410,3.705,4.570,7.90,0.000,0,13.694,13.704,14.378,13.620,13.423,13.337,14.211,0.902
,1,8.25,-0.05,2.15350,1.397,3.981,4.245,8.10,0.000,0,9.376,9.631,9.408,9.649,9.868,10.045,9.446,2.154
,1,8.25,0.03,2.68751,1.785,4.028,4.138,11.80,0.000,0,12.106,12.580,12.310,12.607,12.856,13.048,12.381,2.688
,1,8.27,-0.05,1.72980,1.001,3.914,4.278,10.20,0.000,1,12.468,12.505,12.418,12.494,12.634,12.776,12.391,1.730
,1,8.27,-0.05,0.41210,-1.594,3.582,4.920,10.20,0.000,2,18.956,19.506,20.928,19.617,18.906,18.481,20.866,0.412
,1,8.27,-0.03,1.41550,0.612,3.842,4.291,10.70,0.000,1,13.940,13.899,14.022,13.856,13.873,13.947,13.925,1.415
,1,8.27,-0.03,0.53463,-1.294,3.606,4.829,10.70,0.000,2,18.706,19.110,20.359,19.116,18.593,18.277,20.359,0.535
,1,8.27,0.05,2.06152,1.295,3.957,4.229,9.20,0.000,0,10.731,10.878,10.691,10.887,11.086,11.253,10.710,2.062
,1,8.27,0.15,2.64849,1.742,4.010,4.106,8.50,0.000,1,8.916,9.294,9.037,9.319,9.561,9.746,9.100,2.648
,1,8.27,0.15,2.30019,1.478,3.976,4.171,8.50,0.000,2,9.575,9.791,9.572,9.807,10.026,10.200,9.609,2.300
,1,8.29,-0.09,1.88696,1.176,3.949,4.279,10.70,0.000,1,12.531,12.657,12.486,12.664,12.852,13.015,12.495,1.887
,1,8.29,-0.09,1.18074,0.241,3.799,4.410,10.70,0.000,2,14.868,14.814,15.079,14.758,14.705,14.731,14.935,1.181
,1,8.29,-0.01,3.71303,2.492,4.047,3.651,9.40,0.000,1,7.939,8.514,8.228,8.544,8.801,8.991,8.316,3.713
,1,8.29,-0.01,3.41967,2.294,4.063,3.877,9.40,0.000,2,8.436,9.094,8.803,9.125,9.388,9.590,8.892,3.420
,1,8.29,0.09,2.16166,1.376,3.965,4.201,10.90,0.000,1,12.229,12.405,12.204,12.417,12.624,12.794,12.231,2.162
,1,8.29,0.09,1.97503,1.212,3.940,4.226,10.90,0.000,2,12.640,12.728,12.575,12.730,12.909,13.068,12.578,1.975
,1,8.29,0.25,1.50043,0.673,3.838,4.239,9.30,0.000,1,12.387,12.315,12.462,12.266,12.281,12.357,12.354,1.500
,1,8.29,0.25,0.76908,-0.735,3.661,4.649,9.30,0.000,2,15.908,16.073,17.000,15.999,15.693,15.527,16.963,0.769
,1,8.31,-0.15,1.17484,0.247,3.803,4.420,9.90,0.000,0,14.053,14.005,14.252,13.952,13.905,13.934,14.115,1.175
,1,8.31,-0.09,3.29297,2.241,4.065,3.921,9.50,0.000,0,8.666,9.342,9.051,9.373,9.636,9.840,9.139,3.293
,1,8.31,0.01,1.29723,0.423,3.814,4.331,8.30,0.000,1,12.012,11.954,12.168,11.901,11.875,11.919,12.040,1.297
,1,8.31,0.01,1.05020,-0.041,3.761,4.490,8.30,0.000,2,13.172,13.117,13.525,13.049,12.941,12.924,13.339,1.050
,1,8.31,0.09,2.29521,1.488,3.979,4.174,10.00,0.000,0,11.050,11.286,11.063,11.304,11.524,11.699,11.103,2.295
,1,8.31,0.09,1.43756,0.612,3.835,4.270,10.10,0.000,0,13.339,13.282,13.431,13.234,13.243,13.312,13.324,1.437
,1,8.31,0.09,3.18912,2.136,4.045,3.931,11.10,0.000,1,10.531,11.086,10.802,11.115,11.373,11.568,10.886,3.189
,1,8.31,0.09,1.58904,0.808,3.867,4.244,11.10,0.000,2,13.850,13.813,13.864,13.778,13.839,13.941,13.789,1.589
,1,8.31,0.11,1.20948,0.248,3.790,4.378,7.60,0.000,1,11.749,11.678,11.984,11.616,11.553,11.572,11.826,1.209
,1,8.31,0.11,0.62822,-1.080,3.624,4.758,7.60,0.000,2,15.070,15.406,16.551,15.376,14.933,14.672,16.564,0.628
,1,8.31,0.13,3.22564,2.155,4.041,3.903,9.30,0.000,0,8.682,9.217,8.935,9.246,9.503,9.697,9.018,3.226
,1,8.31,0.15,2.52801,1.660,3.997,4.114,8.50,0.000,1,9.119,9.433,9.187,9.455,9.689,9.869,9.243,2.528
,1,8.31,0.15,1.29828,0.394,3.805,4.325,8.50,0.000,2,12.284,12.210,12.463,12.151,12.113,12.150,12.321,1.298
,1,8.31,0.15,1.26236,0.332,3.798,4.346,9.90,0.000,1,13.841,13.765,14.044,13.704,13.654,13.684,13.894,1.262
,1,8.31,0.15,0.74380,-0.791,3.655,4.668,9.90,0.000,2,16.647,16.834,17.783,16.764,16.444,16.269,17.762,0.744
,1,8.31,0.19,1.53891,0.722,3.846,4.233,9.60,0.000,1,12.564,12.502,12.620,12.456,12.485,12.567,12.522,1.539
,1,8.31,0.19,0.15704,-2.351,3.501,4.936,9.60,0.000,2,20.247,21.354,23.383,21.869,20.571,19.813,23.153,0.157
,1,8.31,0.19,1.25292,0.306,3.794,4.350,10.00,0.000,1,14.005,13.926,14.225,13.863,13.807,13.831,14.069,1.253
,1,8.31,0.19,0.72857,-0.837,3.649,4.679,10.00,0.000,2,16.863,17.079,18.074,17.013,16.672,16.481,18.070,0.729
,1,8.31,0.33,1.94296,1.161,3.922,4.200,10.40,0.000,1,12.267,12.289,12.179,12.280,12.440,12.591,12.163,1.943
,1,8.31,0.33,0.91898,-0.370,3.711,4.560,10.40,0.000,2,16.094,16.090,16.744,16.005,15.818,15.741,16.571,0.919
,1,8.33,-0.05,2.56634,1.732,4.021,4.144,11.40,0.000,1,11.839,12.283,12.020,12.310,12.554,12.743,12.086,2.566
,1,8.33,-0.05,1.23219,0.326,3.807,4.375,11.40,0.000,2,15.354,15.299,15.538,15.245,15.205,15.240,15.402,1.232
,1,8.33,-0.03,3.69369,2.522,4.018,3.503,11.00,0.000,1,9.466,9.895,9.623,9.922,10.169,10.339,9.703,3.694
,1,8.33,-0.03,1.84854,1.122,3.933,4.261,11.00,0.000,2,12.964,13.043,12.906,13.041,13.210,13.365,12.900,1.848
,1,8.33,0.09,2.39477,1.570,3.989,4.148,10.80,0.000,0,11.645,11.925,11.690,11.945,12.173,12.350,11.738,2.395
,1,8.35,-0.21,1.04843,0.016,3.777,4.496,9.30,0.000,1,14.029,13.982,14.319,13.923,13.836,13.834,14.152,1.048
,1,8.35,-0.21,0.53595,-1.250,3.616,4.828,9.30,0.000,2,17.196,17.535,18.709,17.510,17.053,16.783,18.706,0.536
,1,8.35,-0.11,1.21149,0.306,3.808,4.394,9.70,0.000,1,13.706,13.657,13.889,13.604,13.565,13.600,13.756,1.211
,1,8.35,-0.11,0.85025,-0.456,3.711,4.613,9.70,0.000,2,15.609,15.621,16.230,15.547,15.357,15.275,16.048,0.850
