#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   7.17  0.01  7.36635  3.379 4.312  4.121  7.4   0.026 0.00  3.722  5.857  5.480  5.912  6.238  6.535  5.619  7.366
 1   7.43 -0.29  9.33548  4.022 4.315  3.592  9.1   0.035 0.00  3.816  5.984  5.612  6.038  6.361  6.653  5.751  9.329
 1   7.63  0.17  1.13538  0.082 3.769  4.434  8.0   0.029 0.00 12.565 12.519 12.919 12.450 12.350 12.340 12.735  1.135
 1   7.83 -0.03  3.33658  2.123 4.106  4.207 13.5   0.038 0.00 12.962 13.889 13.596 13.924 14.191 14.412 13.686  3.337
 1   7.87 -0.05  3.94595  2.433 4.146  4.133  7.0   0.023 0.00  5.688  6.836  6.522  6.874  7.155  7.396  6.625  3.946
 1   7.89 -0.11  1.25800  0.372 3.817  4.380  9.3   0.035 0.00 13.139 13.124 13.339 13.074 13.043 13.082 13.212  1.258
 1   7.91 -0.09  1.85787  1.132 3.948  4.311 10.6   0.038 0.00 12.540 12.696 12.541 12.702 12.881 13.037 12.544  1.858
 1   7.91  0.31  2.71059  1.735 4.027  4.188  7.3   0.025 0.00  7.732  8.202  7.940  8.230  8.476  8.667  8.010  2.711
 1   7.93  0.21  1.39014  0.516 3.819  4.287  9.7   0.036 0.00 13.180 13.135 13.358 13.080 13.057 13.104 13.225  1.390
 1   8.09 -0.09  1.13094  0.141 3.786  4.441  8.9   0.034 0.00 13.316 13.291 13.611 13.232 13.154 13.159 13.449  1.131
 1   8.13 -0.01  0.65901 -0.982 3.638  4.735  6.4   0.019 0.00 13.624 13.904 14.959 13.849 13.470 13.251 14.964  0.659
 1   8.21  0.23  1.39827  0.533 3.820  4.277  8.6   0.033 0.00 12.038 11.988 12.205 11.933 11.912 11.962 12.074  1.398
 1   8.21  0.31  1.40369  0.541 3.821  4.275  9.5   0.036 0.00 12.919 12.864 13.084 12.808 12.789 12.841 12.952  1.404
