#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.67 -0.05  4.42825  2.528 4.200  4.303 13.4   0.038 0.00 11.850 13.333 13.005 13.377 13.669 13.928 13.116  4.428
 1   6.91 -0.21  1.97115  1.268 3.987  4.361 10.1   0.036 0.00 11.701 12.023 11.810 12.042 12.256 12.430 11.844  1.971
 1   7.15  0.19  1.81050  1.023 3.905  4.240  8.7   0.031 0.00 10.912 10.940 10.890 10.922 11.046 11.179 10.849  1.810
 1   7.37  0.31  2.18822  1.346 3.968  4.249  9.4   0.034 0.00 10.804 11.007 10.815 11.020 11.225 11.394 10.840  2.188
 1   7.53 -0.17  2.02702  1.304 3.989  4.343  9.1   0.033 0.00 10.610 10.934 10.718 10.954 11.170 11.345 10.753  2.027
 1   7.53  0.09  6.04042  3.140 4.248  4.018 10.4   0.037 0.00  7.320  9.069  8.716  9.118  9.426  9.701  8.845  6.040
 1   7.55  0.13  1.45988  0.622 3.837  4.275  8.8   0.031 0.00 12.016 11.982 12.139 11.935 11.941 12.007 12.029  1.460
 1   7.57  0.01  2.84020  1.819 4.064  4.274 10.3   0.037 0.00 10.522 11.219 10.943 11.251 11.506 11.710 11.021  2.840
 1   7.63 -0.11  1.75806  1.037 3.932  4.321 10.2   0.036 0.00 12.377 12.491 12.372 12.489 12.647 12.795 12.359  1.758
 1   7.65 -0.03  1.18202  0.221 3.793  4.409  8.2   0.028 0.00 12.418 12.382 12.677 12.324 12.259 12.274 12.523  1.182
 1   7.77  0.19  2.10335  1.283 3.954  4.238  8.8   0.031 0.00 10.363 10.515 10.345 10.523 10.714 10.875 10.357  2.103
 1   7.83 -0.11  1.19446  0.257 3.802  4.414  7.1   0.021 0.00 11.228 11.195 11.453 11.141 11.089 11.114 11.312  1.194
 1   7.87  0.19  1.26547  0.319 3.796  4.350  8.3   0.028 0.00 12.272 12.217 12.518 12.155 12.097 12.119 12.361  1.265
 1   7.87  0.35  2.32828  1.467 3.984  4.220 11.3   0.038 0.00 12.403 12.675 12.460 12.693 12.912 13.085 12.499  2.328
 1   7.89 -0.01  1.19511  0.244 3.795  4.397  7.9   0.026 0.00 12.060 12.020 12.310 11.963 11.901 11.918 12.157  1.195
 1   7.91 -0.37  1.40754  0.700 3.880  4.353 10.1   0.036 0.00 13.121 13.169 13.191 13.143 13.212 13.313 13.128  1.407
 1   7.95  0.09  1.71121  0.938 3.895  4.257 11.3   0.038 0.00 13.725 13.750 13.733 13.727 13.830 13.951 13.681  1.711
 1   7.97 -0.39  3.38690  2.249 4.143  4.238  9.2   0.033 0.00  8.347  9.516  9.209  9.554  9.829 10.065  9.306  3.387
 1   7.97  0.01  1.81858  1.065 3.926  4.283 10.8   0.037 0.00 12.907 12.995 12.889 12.990 13.143 13.287 12.871  1.818
 1   7.97  0.05  1.95952  1.191 3.946  4.271  7.5   0.023 0.00  9.293  9.424  9.266  9.429  9.611  9.770  9.271  1.960
 1   7.99  0.11  3.19954  2.051 4.075  4.136  8.3   0.028 0.00  7.941  8.677  8.391  8.710  8.972  9.181  8.478  3.200
 1   7.99  0.13  1.96905  1.185 3.938  4.247  9.0   0.032 0.00 10.808 10.918 10.781 10.919 11.090 11.243 10.777  1.969
 1   7.99  0.15  0.86594 -0.489 3.696  4.593  7.5   0.023 0.00 13.492 13.551 14.267 13.470 13.248 13.142 14.116  0.866
 1   8.01 -0.23  5.30403  3.355 3.740  1.715 10.5   0.037 0.00  6.882  6.863  7.337  6.797  6.653  6.601  7.106  5.304
 1   8.05 -0.33  1.63390  0.975 3.935  4.363 10.8   0.037 0.00 13.134 13.269 13.146 13.269 13.428 13.576 13.134  1.634
 1   8.05 -0.23  1.18987  0.283 3.814  4.431  6.9   0.019 0.00 10.963 10.944 11.161 10.894 10.858 10.894 11.035  1.190
 1   8.09  0.05  1.15511  0.156 3.782  4.420  7.2   0.021 0.00 11.579 11.531 11.869 11.469 11.389 11.394 11.701  1.155
 1   8.13 -0.35  3.46674  2.335 4.131  4.114 10.5   0.037 0.00  9.434 10.530 10.228 10.567 10.838 11.067 10.324  3.467
 1   8.13  0.01  2.18229  1.397 3.981  4.250  9.1   0.033 0.00 10.376 10.654 10.443 10.673 10.886 11.057 10.478  2.182
 1   8.13  0.33  0.71582 -0.871 3.645  4.690  6.3   0.016 0.00 13.249 13.505 14.546 13.449 13.078 12.867 14.544  0.716
 1   8.15  0.19  2.20597  1.385 3.964  4.198  8.6   0.030 0.00  9.908 10.099  9.910 10.111 10.313 10.477  9.933  2.206
 1   8.21 -0.13  0.52393 -1.301 3.609  4.839  4.5   0.008 0.00 12.521 12.905 14.132 12.899 12.399 12.100 14.130  0.524
 1   8.21  0.39  4.18943  2.619 3.662  2.035 11.7   0.038 0.00  9.921 10.088 11.030 10.005  9.717  9.551 10.709  4.189
 1   8.23 -0.03  1.68894  0.950 3.904  4.277  9.4   0.034 0.00 11.796 11.842 11.797 11.825 11.941 12.069 11.754  1.689
 1   8.23  0.23  3.79351  2.488 4.053  3.689  9.5   0.034 0.00  8.051  8.666  8.387  8.697  8.953  9.143  8.476  3.794
 1   8.29 -0.03  0.84882 -0.490 3.703  4.615  6.7   0.018 0.00 12.695 12.736 13.393 12.660 12.453 12.358 13.221  0.849
