#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.61  0.19  4.55855  2.562 4.188  4.234  8.8   0.027 0.00  7.165  8.537  8.204  8.581  8.875  9.135  8.321  4.559
 1   6.81 -0.09  2.05892  1.311 3.985  4.326  9.2   0.030 0.00 10.693 10.991 10.777 11.010 11.224 11.399 10.812  2.059
 1   6.97 -0.01  2.62634  1.685 4.048  4.312  9.7   0.032 0.00 10.256 10.869 10.600 10.899 11.149 11.347 10.672  2.626
 1   7.01 -0.05  2.71656  1.749 4.063  4.321  9.5   0.031 0.00  9.897 10.588 10.313 10.620 10.875 11.080 10.389  2.717
 1   7.21  0.25  1.24970  0.285 3.792  4.362  8.0   0.022 0.00 12.057 11.993 12.311 11.928 11.865 11.884 12.149  1.250
 1   7.45  0.31  0.93089 -0.349 3.714  4.557  7.4   0.018 0.00 13.041 13.047 13.691 12.963 12.778 12.701 13.510  0.931
 1   7.55 -0.11  2.67129  1.742 4.062  4.315 11.0   0.037 0.00 11.415 12.106 11.834 12.138 12.391 12.594 11.909  2.671
 1   7.61  0.05  4.07365  2.431 4.156  4.185  9.9   0.033 0.00  8.593  9.794  9.479  9.834 10.115 10.360  9.584  4.074
 1   7.63 -0.03  2.10001  1.329 3.981  4.299  9.9   0.033 0.00 11.346 11.625 11.416 11.643 11.855 12.026 11.448  2.100
 1   7.67  0.15  2.45921  1.561 4.007  4.243 12.5   0.038 0.00 13.367 13.764 13.525 13.788 14.019 14.200 13.578  2.459
 1   7.67  0.23  4.30785  2.536 4.156  4.106 11.0   0.037 0.00  9.430 10.613 10.294 10.654 10.937 11.183 10.405  4.308
 1   7.69 -0.09  2.10824  1.350 3.989  4.315  9.6   0.032 0.00 10.995 11.316 11.098 11.336 11.554 11.729 11.135  2.108
 1   7.73  0.11  1.26825  0.341 3.802  4.353  8.6   0.026 0.00 12.516 12.467 12.740 12.409 12.359 12.386 12.592  1.268
 1   7.75 -0.09  1.79403  1.069 3.936  4.315  9.1   0.029 0.00 11.198 11.315 11.184 11.315 11.481 11.633 11.176  1.794
 1   7.83 -0.01  1.14134  0.132 3.781  4.434  8.9   0.028 0.00 13.340 13.303 13.643 13.241 13.158 13.159 13.474  1.141
 1   7.85  0.07  3.22742  2.052 4.086  4.186  9.7   0.032 0.00  9.339 10.146  9.857 10.180 10.443 10.658  9.945  3.227
 1   7.85  0.15  2.26963  1.426 3.981  4.238  9.0   0.028 0.00 10.206 10.470 10.257 10.488 10.704 10.876 10.293  2.270
 1   7.91  0.15  5.28045  3.096 4.145  3.589  9.0   0.028 0.00  6.029  7.146  6.829  7.184  7.465  7.700  6.941  5.280
 1   7.93  0.17  4.83138  2.881 4.150  3.786  9.5   0.031 0.00  7.068  8.215  7.897  8.254  8.536  8.775  8.009  4.831
 1   7.93  0.19  1.41331  0.550 3.824  4.279  9.0   0.028 0.00 12.396 12.347 12.549 12.294 12.280 12.333 12.424  1.413
 1   7.93  0.37  2.67196  1.711 4.022  4.188  9.3   0.030 0.00  9.792 10.240  9.982 10.267 10.510 10.699 10.050  2.672
 1   7.95  0.09  1.38983  0.539 3.826  4.293 10.1   0.034 0.00 13.522 13.489 13.679 13.439 13.426 13.479 13.559  1.390
 1   7.99  0.11  1.00624 -0.157 3.743  4.516  6.9   0.016 0.00 12.063 12.029 12.523 11.955 11.817 11.777 12.324  1.006
 1   7.99  0.19  2.06403  1.256 3.946  4.226  9.6   0.032 0.00 11.230 11.357 11.202 11.361 11.544 11.701 11.207  2.064
 1   8.01  0.43  2.10002  1.287 3.951  4.223  9.1   0.029 0.00 10.654 10.777 10.611 10.782 10.974 11.138 10.622  2.100
 1   8.03  0.05  1.54003  0.747 3.860  4.266 10.6   0.036 0.00 13.503 13.496 13.578 13.459 13.502 13.590 13.494  1.540
 1   8.03  0.09  1.97334  1.198 3.943  4.255 11.2   0.037 0.00 12.976 13.107 12.960 13.111 13.287 13.441 12.961  1.973
 1   8.03  0.43  2.12983  1.313 3.955  4.219  8.4   0.025 0.00  9.888 10.024  9.849 10.030 10.227 10.393  9.864  2.130
 1   8.05  0.03  1.19471  0.238 3.792  4.393  8.9   0.028 0.00 13.075 13.034 13.336 12.975 12.910 12.925 13.180  1.195
 1   8.05  0.07  3.78026  2.392 4.111  4.015 14.1   0.038 0.00 12.890 13.837 13.539 13.873 14.143 14.365 13.636  3.780
 1   8.07 -0.11  1.12788  0.139 3.787  4.446  9.0   0.028 0.00 13.422 13.394 13.708 13.335 13.260 13.266 13.548  1.128
 1   8.07 -0.11  2.82538  1.877 4.064  4.215  9.9   0.033 0.00  9.978 10.680 10.404 10.711 10.966 11.169 10.482  2.825
 1   8.07  0.11  2.15087  1.348 3.967  4.235 10.5   0.035 0.00 11.899 12.112 11.922 12.125 12.327 12.492 11.945  2.151
 1   8.07  0.13  1.17103  0.166 3.780  4.407  8.7   0.027 0.00 13.055 13.005 13.359 12.940 12.857 12.860 13.186  1.171
 1   8.09  0.23  2.97488  1.925 4.044  4.108  9.3   0.030 0.00  9.258  9.825  9.553  9.855 10.108 10.302  9.632  2.975
 1   8.11 -0.29  1.15276  0.234 3.811  4.456  9.5   0.031 0.00 13.684 13.680 13.908 13.631 13.588 13.618 13.779  1.153
 1   8.13 -0.13  4.04395  2.614 4.122  3.863 11.1   0.037 0.00  9.335 10.355 10.055 10.392 10.662 10.885 10.154  4.044
 1   8.13  0.25  1.55198  0.732 3.848  4.236 10.1   0.034 0.00 13.039 13.002 13.126 12.956 12.983 13.063 13.026  1.552
 1   8.17  0.29  3.93136  2.537 4.074  3.739  9.5   0.031 0.00  7.928  8.644  8.354  8.677  8.940  9.145  8.451  3.931
 1   8.19  0.07  2.56945  1.685 4.016  4.171 11.6   0.037 0.00 12.158 12.600 12.354 12.626 12.862 13.044 12.413  2.569
 1   8.19  0.17  1.61086  0.812 3.863  4.231  9.4   0.031 0.00 12.141 12.119 12.195 12.081 12.132 12.226 12.111  1.611
 1   8.19  0.33  2.27905  1.445 3.971  4.180  9.9   0.033 0.00 11.057 11.270 11.070 11.284 11.494 11.662 11.100  2.279
