#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   7.37 -0.25  1.40633  0.652 3.868  4.350 10.7   0.037 0.00 13.839 13.868 13.927 13.837 13.885 13.976 13.852  1.406
 1   7.63  0.11  1.36748  0.498 3.821  4.305  8.1   0.027 0.00 11.625 11.582 11.790 11.530 11.510 11.558 11.663  1.367
 1   7.75  0.21  1.24727  0.285 3.791  4.361  7.6   0.024 0.00 11.659 11.599 11.916 11.535 11.471 11.489 11.754  1.247
 1   7.77 -0.11  2.26064  1.472 4.012  4.315  9.0   0.032 0.00 10.091 10.523 10.282 10.548 10.780 10.963 10.334  2.261
 1   7.87 -0.17  1.18852  0.257 3.806  4.427  8.6   0.030 0.00 12.727 12.708 12.955 12.656 12.608 12.635 12.818  1.189
 1   7.89 -0.07  1.87266  1.140 3.948  4.307  9.0   0.032 0.00 10.920 11.070 10.914 11.076 11.257 11.414 10.917  1.873
 1   7.93  0.17  2.00577  1.208 3.940  4.238 10.4   0.037 0.00 12.149 12.265 12.125 12.266 12.440 12.593 12.123  2.006
 1   7.95  0.05  1.24057  0.310 3.800  4.368  8.3   0.028 0.00 12.294 12.251 12.526 12.194 12.140 12.165 12.378  1.241
 1   7.97  0.29  2.91600  1.870 4.044  4.154  9.4   0.034 0.00  9.496 10.061  9.791 10.091 10.343 10.539  9.869  2.916
 1   8.01  0.39  3.41939  2.170 4.082  4.076  8.9   0.032 0.00  8.244  8.996  8.703  9.030  9.297  9.512  8.799  3.419
 1   8.03 -0.19  0.85968 -0.407 3.721  4.609  7.5   0.023 0.00 13.286 13.302 13.868 13.231 13.053 12.979 13.670  0.860
 1   8.05  0.15  2.69155  1.740 4.025  4.173  8.1   0.027 0.00  8.520  8.993  8.735  9.021  9.264  9.452  8.802  2.692
 1   8.05  0.39  1.01082 -0.166 3.739  4.509  8.4   0.029 0.00 13.584 13.552 14.097 13.470 13.325 13.281 13.897  1.011
 1   8.17 -0.03  2.95704  1.962 4.061  4.135  8.0   0.026 0.00  7.864  8.535  8.257  8.567  8.823  9.024  8.337  2.957
 1   8.17  0.19  4.47316  2.829 3.657  1.835  9.3   0.034 0.00  6.997  7.183  8.121  7.105  6.809  6.635  7.792  4.473
 1   8.21  0.21  1.56522  0.751 3.851  4.231  7.3   0.022 0.00 10.193 10.151 10.262 10.107 10.139 10.223 10.166  1.565
 1   8.23 -0.17  2.09105  1.375 3.989  4.286  9.4   0.034 0.00 10.732 11.058 10.840 11.078 11.295 11.469 10.878  2.091
 1   8.23  0.17  1.78637  1.010 3.899  4.223  8.0   0.026 0.00 10.246 10.259 10.224 10.238 10.352 10.481 10.178  1.786
 1   8.27 -0.09  2.13604  1.397 3.984  4.253 10.2   0.036 0.00 11.479 11.779 11.566 11.798 12.012 12.182 11.602  2.136
 1   8.27  0.05  1.03384 -0.084 3.754  4.500  8.4   0.029 0.00 13.381 13.351 13.799 13.281 13.158 13.128 13.604  1.034
 1   8.27  0.15  1.09698  0.023 3.763  4.454  8.4   0.029 0.00 13.113 13.071 13.492 13.001 12.892 12.875 13.304  1.097
 1   8.33 -0.03  0.73720 -0.774 3.664  4.680  6.8   0.019 0.00 13.504 13.672 14.554 13.600 13.304 13.144 14.502  0.737
 1   8.33  0.25  2.14026  1.341 3.949  4.170  9.1   0.033 0.00 10.517 10.650 10.485 10.656 10.844 11.002 10.496  2.140
 1   8.33  0.47  1.75912  0.977 3.890  4.211 10.7   0.037 0.00 13.028 13.013 13.016 12.983 13.083 13.207 12.955  1.759
 1   8.35  0.11  1.61813  0.839 3.871  4.236  9.1   0.033 0.00 11.772 11.764 11.815 11.730 11.792 11.892 11.740  1.618
 1   8.37 -0.05  2.61685  1.779 4.021  4.108 11.4   0.038 0.00 11.724 12.202 11.951 12.230 12.468 12.648 12.014  2.617
 1   8.41 -0.05  1.87168  1.158 3.938  4.252  6.6   0.018 0.00  8.476  8.585  8.443  8.587  8.759  8.913  8.440  1.871
 1   8.43  0.23  0.77016 -0.731 3.661  4.647  7.1   0.021 0.00 13.698 13.878 14.807 13.805 13.496 13.328 14.766  0.770
 1   8.43  0.23  1.03013 -0.121 3.744  4.493  9.0   0.032 0.00 14.072 14.044 14.551 13.967 13.829 13.789 14.351  1.030
 1   8.45  0.13  1.73738  0.975 3.891  4.215 10.3   0.037 0.00 12.633 12.649 12.640 12.625 12.723 12.842 12.585  1.737
 1   8.47 -0.05  1.58713  0.851 3.883  4.265  6.9   0.019 0.00  9.543  9.551  9.560  9.524  9.607  9.719  9.500  1.587
 1   8.47  0.07  1.50456  0.713 3.850  4.247 10.7   0.037 0.00 13.687 13.671 13.785 13.629 13.655 13.731 13.690  1.504
 1   8.51 -0.11  1.47271  0.724 3.865  4.290  7.1   0.021 0.00 10.061 10.060 10.119 10.026 10.078 10.171 10.043  1.472
 1   8.55 -0.41  0.99615 -0.008 3.782  4.519  7.8   0.025 0.00 12.590 12.581 12.899 12.526 12.439 12.435 12.739  0.996
 1   8.55 -0.07  3.26202  2.288 3.691  2.376 11.1   0.038 0.00 10.150 10.230 10.947 10.154  9.926  9.809 10.653  3.262
 1   8.55 -0.01  1.84882  1.136 3.925  4.214  7.5   0.023 0.00  9.431  9.503  9.391  9.499  9.654  9.798  9.376  1.848
 1   8.55  0.11  1.47258  0.666 3.840  4.246 10.2   0.036 0.00 13.304 13.278 13.425 13.232 13.242 13.310 13.319  1.472
 1   8.55  0.37  0.72349 -0.849 3.647  4.681  6.5   0.017 0.00 13.393 13.639 14.671 13.578 13.216 13.011 14.667  0.723
 1   8.57 -0.07  2.85575  2.046 3.968  3.667  4.7   0.009 0.00  4.354  4.561  4.340  4.579  4.794  4.945  4.386  2.856
 1   8.57  0.03  0.85158 -0.490 3.699  4.601  7.5   0.023 0.00 13.496 13.548 14.231 13.470 13.256 13.154 14.065  0.852
 1   8.57  0.07  0.84271 -0.521 3.693  4.605  7.7   0.025 0.00 13.774 13.844 14.564 13.765 13.538 13.427 14.418  0.843
 1   8.57  0.15  3.17939  2.164 3.680  2.443  7.2   0.021 0.00  6.559  6.652  7.445  6.571  6.326  6.196  7.148  3.179
 1   8.57  0.39  1.07305 -0.027 3.755  4.463  8.7   0.031 0.00 13.538 13.488 13.963 13.409 13.290 13.267 13.765  1.073
 1   8.59 -0.15  2.23151  1.552 3.981  4.106  5.7   0.013 0.00  6.590  6.861  6.638  6.880  7.098  7.267  6.679  2.232
 1   8.61 -0.43  1.53164  0.905 3.918  4.335  8.9   0.032 0.00 11.406 11.502 11.418 11.494 11.628 11.764 11.391  1.531
 1   8.61  0.11  1.86651  1.131 3.910  4.165 11.2   0.038 0.00 13.142 13.190 13.122 13.176 13.308 13.440 13.090  1.866
 1   8.61  0.45  1.15353  0.135 3.774  4.406  7.0   0.020 0.00 11.434 11.356 11.757 11.280 11.192 11.195 11.573  1.153
 1   8.63 -0.35  1.68999  1.087 3.944  4.299 10.8   0.037 0.00 12.853 13.012 12.866 13.017 13.188 13.339 12.866  1.689
 1   8.63  0.41  1.20882  0.240 3.785  4.367  9.8   0.035 0.00 13.969 13.904 14.262 13.833 13.760 13.773 14.088  1.209
 1   8.65  0.03  1.38761  0.574 3.830  4.271 10.1   0.036 0.00 13.435 13.412 13.588 13.364 13.356 13.411 13.473  1.387
 1   8.65  0.11  2.13556  1.403 3.936  4.056 10.9   0.037 0.00 12.164 12.270 12.129 12.273 12.445 12.590 12.131  2.136
 1   8.67 -0.07  1.72538  1.036 3.908  4.218  9.4   0.034 0.00 11.580 11.636 11.574 11.622 11.747 11.878 11.539  1.725
 1   8.67 -0.07  1.49588  0.755 3.865  4.263 10.7   0.037 0.00 13.584 13.592 13.659 13.559 13.607 13.697 13.581  1.496
 1   8.67  0.05  1.64818  0.913 3.880  4.209 10.1   0.036 0.00 12.588 12.597 12.619 12.568 12.647 12.754 12.554  1.648
 1   8.67  0.19  1.62028  0.844 3.858  4.182 10.5   0.037 0.00 13.159 13.136 13.228 13.096 13.139 13.227 13.139  1.620
 1   8.67  0.25  1.43207  0.598 3.825  4.244 10.0   0.036 0.00 13.276 13.228 13.428 13.174 13.163 13.217 13.303  1.432
 1   8.69  0.07  2.60989  1.851 3.915  3.608  9.0   0.032 0.00  9.143  9.186  9.073  9.183  9.335  9.458  9.068  2.610
 1   8.69  0.29  2.95175  2.144 3.669  2.388 10.0   0.036 0.00  9.411  9.552 10.428  9.470  9.199  9.046 10.129  2.952
 1   8.71 -0.15  0.95590 -0.193 3.747  4.544  7.9   0.026 0.00 13.152 13.137 13.601 13.070 12.933 12.891 13.404  0.956
 1   8.71  0.01  1.15954  0.196 3.787  4.401  6.8   0.019 0.00 11.080 11.034 11.349 10.973 10.901 10.912 11.188  1.159
 1   8.71  0.03  1.71138  0.996 3.892  4.190  6.9   0.019 0.00  9.179  9.190  9.168  9.167  9.270  9.391  9.118  1.711
 1   8.71  0.09  1.51968  0.746 3.850  4.218  8.4   0.029 0.00 11.305 11.279 11.391 11.237 11.265 11.343 11.296  1.519
 1   8.71  0.09  2.48468  1.746 3.922  3.722 10.7   0.037 0.00 11.104 11.168 11.042 11.167 11.328 11.457 11.041  2.485
 1   8.73 -0.19  2.30457  1.686 3.954  3.878  9.2   0.033 0.00  9.756  9.934  9.748  9.947 10.141 10.287  9.773  2.305
 1   8.73 -0.05  1.76842  1.088 3.910  4.183 10.6   0.037 0.00 12.651 12.709 12.642 12.697 12.825 12.956 12.610  1.768
 1   8.73  0.03  2.75987  1.928 3.692  2.666  9.6   0.035 0.00  9.549  9.623 10.341  9.546  9.321  9.206 10.057  2.760
 1   8.75 -0.03  1.68761  0.992 3.894  4.196 10.0   0.036 0.00 12.290 12.322 12.300 12.300 12.403 12.522 12.250  1.687
 1   8.75  0.11  1.99827  1.291 3.914  4.048  9.8   0.035 0.00 11.343 11.392 11.308 11.382 11.522 11.655 11.284  1.998
 1   8.75  0.23  1.88392  1.150 3.893  4.082 11.8   0.038 0.00 13.696 13.702 13.683 13.678 13.785 13.906 13.632  1.884
 1   8.75  0.41  2.33096  1.594 3.911  3.800  8.8   0.031 0.00  9.584  9.597  9.510  9.585  9.731  9.861  9.490  2.331
 1   8.77 -0.17  1.22995  0.381 3.820  4.373  7.0   0.020 0.00 10.817 10.795 10.993 10.747 10.722 10.766 10.872  1.230
 1   8.77 -0.05  0.64447 -1.005 3.636  4.742  5.4   0.012 0.00 12.683 12.961 14.021 12.908 12.526 12.304 14.025  0.644
 1   8.77  0.05  1.58393  0.847 3.865  4.199  8.4   0.029 0.00 11.054 11.043 11.106 11.008 11.063 11.157 11.028  1.583
 1   8.77  0.17  0.85213 -0.517 3.691  4.595  7.4   0.023 0.00 13.464 13.537 14.284 13.456 13.224 13.110 14.148  0.852
 1   8.79 -0.03  0.91547 -0.314 3.727  4.566  6.5   0.017 0.00 12.054 12.048 12.598 11.975 11.810 11.747 12.398  0.915
 1   8.79 -0.01  1.79742  1.117 3.904  4.138 11.9   0.038 0.00 13.878 13.922 13.869 13.907 14.028 14.154 13.831  1.796
 1   8.79  0.13  1.29334  0.415 3.806  4.305  9.0   0.032 0.00 12.732 12.687 12.947 12.630 12.586 12.617 12.803  1.293
 1   8.81  0.01  1.45017  0.683 3.843  4.235  9.3   0.034 0.00 12.363 12.345 12.477 12.303 12.317 12.386 12.377  1.450
 1   8.81  0.05  2.03224  1.356 3.912  3.984  9.0   0.032 0.00 10.380 10.426 10.340 10.417 10.556 10.686 10.318  2.032
 1   8.81  0.07  1.10647  0.081 3.772  4.436  8.8   0.031 0.00 13.367 13.328 13.707 13.262 13.166 13.158 13.527  1.106
 1   8.81  0.13  1.09740  0.049 3.766  4.441  9.1   0.033 0.00 13.748 13.709 14.117 13.640 13.535 13.521 13.930  1.097
 1   8.81  0.13  2.03754  1.341 3.904  3.968 10.6   0.037 0.00 12.018 12.046 11.986 12.030 12.157 12.283 11.952  2.038
 1   8.81  0.33  1.81579  1.086 3.880  4.077  9.2   0.033 0.00 11.255 11.232 11.254 11.200 11.286 11.398 11.187  1.815
 1   8.83 -0.25  1.32945  0.594 3.851  4.319  8.4   0.029 0.00 11.684 11.694 11.795 11.656 11.680 11.754 11.707  1.329
 1   8.83 -0.13  1.89754  1.281 3.924  4.077 11.2   0.038 0.00 12.767 12.854 12.740 12.852 13.006 13.142 12.729  1.896
 1   8.83  0.35  2.40384  1.714 3.768  3.124  9.8   0.035 0.00 10.286 10.222 10.630 10.149 10.053 10.045 10.429  2.404
 1   8.85 -0.27  0.97663 -0.093 3.766  4.529  8.9   0.032 0.00 13.902 13.890 14.277 13.829 13.718 13.696 14.096  0.977
 1   8.85 -0.27  2.45587  1.927 3.707  2.676 10.7   0.037 0.00 10.653 10.703 11.324 10.634 10.431 10.334 11.054  2.456
 1   8.87 -0.37  2.21694  1.669 3.714  2.916 10.4   0.037 0.00 10.998 11.043 11.624 10.977 10.783 10.693 11.368  2.217
 1   8.87 -0.27  0.81857 -0.463 3.716  4.624  6.7   0.018 0.00 12.628 12.651 13.232 12.582 12.395 12.314 13.039  0.819
 1   8.87 -0.09  1.22534  0.355 3.811  4.360  7.1   0.021 0.00 10.981 10.949 11.179 10.897 10.859 10.894 11.047  1.225
 1   8.87 -0.07  1.45055  0.717 3.854  4.242 10.1   0.036 0.00 13.078 13.077 13.175 13.039 13.069 13.147 13.087  1.450
 1   8.87 -0.05  2.00902  1.383 3.908  3.934  8.8   0.031 0.00 10.112 10.155 10.078 10.144 10.276 10.401 10.052  2.009
 1   8.87  0.07  1.65953  0.948 3.871  4.138 11.0   0.037 0.00 13.400 13.397 13.445 13.364 13.428 13.525 13.372  1.659
 1   8.87  0.15  1.09489  0.043 3.765  4.440  9.0   0.032 0.00 13.664 13.624 14.040 13.554 13.447 13.431 13.852  1.095
 1   8.87  0.25  2.06711  1.369 3.881  3.854 10.2   0.036 0.00 11.548 11.530 11.538 11.501 11.593 11.700 11.479  2.067
 1   8.89 -0.07  1.88574  1.263 3.905  4.018 10.4   0.037 0.00 12.013 12.059 11.995 12.046 12.172 12.296 11.963  1.884
 1   8.89  0.03  1.18771  0.259 3.793  4.370  8.2   0.028 0.00 12.322 12.281 12.581 12.222 12.156 12.172 12.425  1.188
 1   8.89  0.09  1.23790  0.338 3.799  4.333  9.5   0.034 0.00 13.424 13.383 13.668 13.325 13.268 13.291 13.516  1.238
 1   8.91 -0.11  2.34655  1.772 3.700  2.782 11.4   0.038 0.00 11.741 11.801 12.469 11.727 11.514 11.408 12.191  2.347
 1   8.91  0.03  0.87041 -0.435 3.707  4.588  7.4   0.023 0.00 13.257 13.291 13.935 13.214 13.015 12.925 13.758  0.870
 1   8.93  0.09  1.24307  0.352 3.800  4.326  7.9   0.026 0.00 11.789 11.741 12.018 11.682 11.629 11.654 11.868  1.243
 1   8.93  0.09  1.02489 -0.089 3.752  4.490  9.0   0.032 0.00 13.994 13.966 14.428 13.894 13.767 13.734 14.230  1.025
 1   8.93  0.15  1.30805  0.447 3.807  4.283  9.2   0.033 0.00 12.853 12.807 13.064 12.750 12.708 12.742 12.921  1.308
 1   8.93  0.17  1.01964 -0.119 3.745  4.490  8.3   0.028 0.00 13.368 13.339 13.837 13.264 13.127 13.088 13.636  1.020
 1   8.93  0.23  1.70321  0.979 3.857  4.063 11.3   0.038 0.00 13.623 13.593 13.686 13.552 13.595 13.681 13.596  1.702
 1   8.95 -0.15  1.16174  0.258 3.802  4.401  9.2   0.033 0.00 13.326 13.306 13.567 13.253 13.199 13.221 13.425  1.162
 1   8.95 -0.07  1.14829  0.203 3.791  4.404  9.8   0.035 0.00 14.062 14.035 14.341 13.978 13.907 13.916 14.183  1.148
 1   8.95 -0.01  0.88880 -0.378 3.718  4.582  7.8   0.025 0.00 13.516 13.533 14.127 13.458 13.276 13.199 13.935  0.889
 1   8.95 -0.01  2.15386  1.398 3.729  3.236  9.3   0.034 0.00 10.575 10.576 11.116 10.503 10.341 10.277 10.876  2.154
 1   8.95  0.03  1.68255  1.003 3.871  4.091 10.0   0.036 0.00 12.262 12.260 12.303 12.228 12.293 12.391 12.232  1.681
 1   8.95  0.15  1.52118  0.764 3.839  4.160  8.3   0.028 0.00 11.161 11.122 11.267 11.075 11.088 11.157 11.161  1.520
 1   8.95  0.41  1.21707  0.279 3.788  4.341  9.9   0.036 0.00 13.972 13.907 14.255 13.837 13.767 13.783 14.083  1.217
 1   8.97 -0.23  1.17918  0.329 3.817  4.393  8.0   0.026 0.00 11.948 11.936 12.146 11.888 11.855 11.893 12.022  1.179
 1   8.97 -0.03  0.81300 -0.567 3.692  4.629  3.9   0.006 0.00 10.088 10.149 10.860 10.073  9.845  9.736 10.718  0.813
 1   8.97  0.01  1.81342  1.171 3.877  3.979 10.8   0.037 0.00 12.642 12.645 12.664 12.616 12.695 12.796 12.602  1.812
 1   8.97  0.09  1.74083  1.061 3.866  4.028 10.2   0.036 0.00 12.316 12.304 12.361 12.270 12.328 12.422 12.285  1.739
 1   8.97  0.23  1.63485  0.902 3.846  4.081 10.2   0.036 0.00 12.716 12.677 12.804 12.632 12.657 12.734 12.703  1.634
 1   8.97  0.25  1.42735  0.621 3.822  4.204  9.8   0.035 0.00 13.016 12.966 13.179 12.911 12.894 12.945 13.049  1.427
 1   8.97  0.47  1.53172  0.768 3.836  4.143  9.2   0.033 0.00 12.050 11.982 12.156 11.927 11.937 12.008 12.036  1.531
 1   8.99 -0.11  1.52204  0.853 3.868  4.184  5.8   0.013 0.00  8.437  8.428  8.474  8.396  8.455  8.552  8.403  1.521
 1   8.99  0.13  2.11995  2.211 3.638  2.051 11.1   0.038 0.00 10.342 10.630 11.666 10.569 10.216  9.998 11.376  2.120
 1   8.99  0.15  1.43511  0.649 3.826  4.197 10.8   0.037 0.00 13.947 13.909 14.101 13.858 13.847 13.900 13.979  1.434
 1   8.99  0.21  1.50222  0.732 3.831  4.153 10.7   0.037 0.00 13.641 13.599 13.778 13.549 13.547 13.606 13.660  1.501
 1   8.99  0.31  1.15353  0.160 3.775  4.387  9.2   0.033 0.00 13.571 13.514 13.902 13.442 13.353 13.352 13.720  1.153
 1   9.01 -0.25  1.35423  0.664 3.856  4.275 10.2   0.036 0.00 13.310 13.327 13.417 13.292 13.322 13.400 13.332  1.354
 1   9.01 -0.19  1.73507  1.171 3.889  4.008 11.3   0.038 0.00 13.142 13.174 13.157 13.153 13.249 13.359 13.108  1.733
 1   9.01 -0.03  2.13792  1.614 3.694  2.875  9.7   0.035 0.00 10.436 10.510 11.213 10.435 10.211 10.097 10.938  2.138
 1   9.01 -0.03  1.36241  0.594 3.831  4.247 10.5   0.037 0.00 13.785 13.768 13.938 13.721 13.714 13.768 13.826  1.362
 1   9.01 -0.01  1.54154  0.847 3.855  4.145 10.6   0.037 0.00 13.253 13.246 13.339 13.209 13.244 13.324 13.252  1.541
 1   9.01  0.07  1.99340  1.358 3.831  3.650 10.1   0.036 0.00 11.476 11.435 11.591 11.389 11.392 11.448 11.482  1.993
 1   9.01  0.17  1.21304  0.285 3.789  4.339  9.9   0.036 0.00 13.958 13.912 14.238 13.848 13.778 13.790 14.073  1.213
 1   9.01  0.17  2.11134  1.557 3.681  2.876 10.2   0.036 0.00 11.077 11.183 11.973 11.104 10.857 10.724 11.699  2.111
 1   9.01  0.19  1.20890  0.272 3.787  4.342  8.7   0.031 0.00 12.791 12.739 13.073 12.675 12.602 12.613 12.906  1.209
 1   9.01  0.21  1.97580  1.302 3.829  3.694 10.1   0.036 0.00 11.614 11.561 11.732 11.511 11.513 11.570 11.616  1.976
 1   9.01  0.23  0.77716 -0.702 3.664  4.634  6.8   0.019 0.00 13.325 13.491 14.399 13.416 13.116 12.955 14.348  0.777
 1   9.01  0.33  1.87671  1.198 3.844  3.836  9.7   0.035 0.00 11.475 11.420 11.549 11.373 11.400 11.476 11.446  1.874
 1   9.01  0.37  2.12122  1.576 3.679  2.851 10.5   0.037 0.00 11.331 11.436 12.264 11.352 11.101 10.967 11.990  2.121
 1   9.03 -0.17  1.77558  1.220 3.879  3.927 10.0   0.036 0.00 11.720 11.735 11.745 11.709 11.790 11.890 11.687  1.773
 1   9.03 -0.11  1.87786  1.313 3.857  3.773 11.1   0.038 0.00 12.588 12.579 12.649 12.545 12.591 12.669 12.571  1.875
 1   9.03 -0.09  1.82391  1.242 3.866  3.868 10.5   0.037 0.00 12.164 12.163 12.208 12.132 12.192 12.281 12.138  1.821
 1   9.03 -0.05  1.60508  0.953 3.864  4.094  9.1   0.033 0.00 11.489 11.486 11.546 11.453 11.506 11.596 11.470  1.604
 1   9.03  0.03  2.24220  1.883 3.678  2.564  8.9   0.032 0.00  8.962  9.074  9.861  8.998  8.747  8.610  9.569  2.242
 1   9.03  0.11  1.07981  0.033 3.765  4.443  8.8   0.031 0.00 13.488 13.450 13.863 13.382 13.274 13.258 13.676  1.080
 1   9.05 -0.21  2.00361  1.601 3.702  2.892  9.5   0.034 0.00 10.268 10.327 10.975 10.256 10.044  9.941 10.703  2.004
 1   9.05 -0.13  0.67441 -0.898 3.650  4.712  6.8   0.019 0.00 13.814 14.035 14.994 13.968 13.637 13.451 14.979  0.674
 1   9.05 -0.09  1.38815  0.662 3.842  4.232  8.3   0.028 0.00 11.415 11.401 11.532 11.360 11.372 11.439 11.433  1.387
 1   9.05 -0.07  1.47539  0.785 3.852  4.177 10.9   0.037 0.00 13.707 13.705 13.805 13.667 13.696 13.772 13.716  1.474
 1   9.05 -0.07  1.62000  0.985 3.866  4.070 11.0   0.037 0.00 13.307 13.310 13.368 13.278 13.332 13.422 13.293  1.619
 1   9.05 -0.05  1.16320  0.239 3.793  4.384  9.2   0.033 0.00 13.373 13.343 13.639 13.286 13.219 13.233 13.485  1.163
 1   9.05  0.01  1.25511  0.411 3.808  4.303 10.0   0.036 0.00 13.743 13.713 13.961 13.659 13.616 13.646 13.822  1.255
 1   9.05  0.11  0.81138 -0.595 3.681  4.614  6.8   0.019 0.00 13.058 13.160 13.949 13.080 12.828 12.700 13.842  0.811
 1   9.05  0.15  1.24906  0.365 3.797  4.305  9.5   0.034 0.00 13.357 13.311 13.604 13.250 13.193 13.215 13.449  1.249
 1   9.05  0.17  0.91472 -0.352 3.714  4.552  8.3   0.028 0.00 13.950 13.970 14.602 13.890 13.702 13.621 14.416  0.915
 1   9.05  0.17  1.59512  0.874 3.838  4.065 10.4   0.037 0.00 12.984 12.948 13.098 12.901 12.912 12.978 12.990  1.594
 1   9.05  0.25  1.67212  0.965 3.839  3.999 10.3   0.037 0.00 12.658 12.613 12.761 12.565 12.580 12.649 12.653  1.671
 1   9.05  0.27  2.18889  1.741 3.678  2.695 10.3   0.037 0.00 10.718 10.829 11.652 10.747 10.494 10.357 11.367  2.189
 1   9.05  0.41  2.18258  1.729 3.678  2.707  9.8   0.035 0.00 10.248 10.353 11.193 10.267 10.015  9.880 10.909  2.183
 1   9.05  0.51  1.84472  1.170 3.833  3.811 10.7   0.037 0.00 12.546 12.471 12.648 12.416 12.427 12.493 12.527  1.842
 1   9.07 -0.29  1.54214  0.976 3.885  4.138  8.8   0.031 0.00 11.130 11.165 11.161 11.142 11.228 11.336 11.107  1.541
 1   9.07 -0.05  1.46000  0.760 3.847  4.175  9.2   0.033 0.00 12.071 12.059 12.176 12.018 12.039 12.110 12.081  1.459
 1   9.07 -0.01  1.80038  1.190 3.846  3.834 11.3   0.038 0.00 13.096 13.075 13.183 13.035 13.061 13.131 13.091  1.798
 1   9.07  0.03  1.48747  0.774 3.840  4.143 11.0   0.037 0.00 13.836 13.816 13.956 13.772 13.783 13.849 13.853  1.486
 1   9.07  0.03  1.64104  0.980 3.852  4.026 11.6   0.038 0.00 13.919 13.903 14.002 13.864 13.897 13.974 13.913  1.639
 1   9.07  0.05  0.82408 -0.548 3.690  4.608  7.7   0.025 0.00 13.840 13.920 14.656 13.842 13.608 13.492 14.519  0.824
 1   9.07  0.09  1.53887  0.827 3.840  4.104 11.3   0.038 0.00 14.003 13.977 14.119 13.932 13.944 14.010 14.015  1.538
