#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf   Mact
 1   6.61  0.03  1.46604  0.649 3.847  4.288 10.3   0.030 0.00 13.448 13.429 13.551 13.387 13.407 13.481 13.454  1.466
 1   6.61  0.23  1.73395  0.939 3.889  4.240 10.8   0.033 0.00 13.223 13.225 13.225 13.197 13.293 13.413 13.166  1.734
 1   6.81  0.25  4.34184  2.483 4.173  4.230 10.6   0.032 0.00  9.163 10.440 10.113 10.482 10.772 11.026 10.227  4.342
 1   6.95  0.15 21.98972  5.092 4.382  3.146 15.5   0.038 0.00  7.539  9.996  9.610 10.053 10.390 10.703  9.756 21.211
 1   6.97 -0.11  3.16620  2.014 4.115  4.329 11.3   0.035 0.00 11.035 12.017 11.721 12.053 12.322 12.550 11.812  3.166
 1   6.97  0.35  5.53127  2.885 4.236  4.186 11.4   0.035 0.00  8.957 10.593 10.239 10.643 10.952 11.229 10.369  5.531
 1   7.01  0.37  4.47624  2.540 4.180  4.214 11.3   0.035 0.00  9.719 11.024 10.692 11.068 11.361 11.619 10.811  4.476
 1   7.05 -0.13 11.68436  4.141 4.410  3.951  9.4   0.025 0.00  3.816  6.508  6.103  6.571  6.920  7.244  6.257 11.670
 1   7.05  0.43  5.66560  2.931 4.241  4.170 10.7   0.032 0.00  8.142  9.793  9.434  9.843 10.157 10.437  9.567  5.666
 1   7.17 -0.11  3.10887  1.988 4.108  4.322 12.7   0.038 0.00 12.501 13.450 13.157 13.485 13.752 13.976 13.246  3.109
 1   7.27 -0.15  5.62419  2.948 4.260  4.224 10.0   0.029 0.00  7.400  9.242  8.888  9.292  9.602  9.881  9.014  5.624
 1   7.35  0.15  3.60376  2.198 4.120  4.222 11.2   0.035 0.00 10.475 11.461 11.159 11.498 11.771 12.002 11.257  3.604
 1   7.35  0.27  1.92453  1.123 3.926  4.248 11.8   0.036 0.00 13.763 13.830 13.724 13.823 13.979 14.126 13.706  1.925
 1   7.39 -0.03  2.62696  1.694 4.049  4.305 12.7   0.038 0.00 13.234 13.854 13.588 13.885 14.134 14.331 13.659  2.627
 1   7.39  0.43  2.45099  1.544 4.004  4.244 10.7   0.032 0.00 11.609 11.965 11.725 11.988 12.222 12.405 11.780  2.451
 1   7.41 -0.15  2.10968  1.363 3.999  4.342  7.5   0.014 0.00  8.862  9.216  8.981  9.238  9.466  9.649  9.026  2.110
 1   7.41 -0.05  3.58227  2.213 4.136  4.270 10.9   0.033 0.00 10.138 11.237 10.931 11.275 11.550 11.787 11.029  3.582
 1   7.41  0.09  0.84431 -0.530 3.692  4.607  7.7   0.015 0.00 13.794 13.861 14.589 13.781 13.552 13.441 14.450  0.844
 1   7.41  0.11  1.51250  0.693 3.849  4.267  9.2   0.024 0.00 12.237 12.206 12.320 12.163 12.190 12.270 12.224  1.512
 1   7.43 -0.23  2.26835  1.501 4.032  4.366 10.8   0.033 0.00 11.816 12.356 12.101 12.383 12.624 12.815 12.162  2.268
 1   7.45  0.03  7.79232  3.606 4.302  3.876 10.6   0.032 0.00  6.354  8.422  8.050  8.475  8.798  9.090  8.188  7.792
 1   7.45  0.17  3.98238  2.370 4.144  4.190 12.5   0.037 0.00 11.345 12.469 12.157 12.508 12.787 13.028 12.262  3.982
 1   7.47 -0.11  1.55126  0.799 3.885  4.316 11.2   0.035 0.00 13.972 14.002 14.011 13.977 14.059 14.169 13.951  1.551
 1   7.49 -0.11  5.66451  3.003 4.252  4.140 12.4   0.037 0.00  9.662 11.459 11.109 11.507 11.814 12.088 11.234  5.665
 1   7.51 -0.07  4.76068  2.696 4.207  4.195 12.4   0.037 0.00 10.431 11.957 11.625 12.001 12.295 12.556 11.739  4.761
 1   7.51  0.03  0.75025 -0.753 3.663  4.666  6.4   0.009 0.00 13.053 13.214 14.101 13.141 12.845 12.686 14.053  0.750
 1   7.55  0.05  6.17778  3.190 4.254  3.999 11.1   0.034 0.00  7.895  9.680  9.326  9.730 10.039 10.315  9.455  6.178
 1   7.55  0.09  1.95478  1.171 3.943  4.276 11.5   0.036 0.00 13.343 13.472 13.327 13.476 13.651 13.806 13.326  1.955
 1   7.57  0.01  3.76418  2.292 4.139  4.223 12.7   0.038 0.00 11.739 12.853 12.546 12.891 13.167 13.404 12.646  3.764
 1   7.57  0.33  3.10939  1.952 4.071  4.209  9.6   0.026 0.00  9.489 10.187  9.899 10.220 10.483 10.695  9.988  3.109
 1   7.57  0.41  2.38991  1.504 3.995  4.238 11.1   0.034 0.00 12.110 12.427 12.197 12.448 12.676 12.855 12.246  2.390
 1   7.59 -0.17  7.92919  3.834 4.239  3.407 12.0   0.037 0.00  7.184  8.898  8.553  8.945  9.247  9.513  8.679  7.929
 1   7.59  0.27  1.58165  0.762 3.855  4.242 11.2   0.035 0.00 14.065 14.031 14.136 13.988 14.027 14.114 14.042  1.582
 1   7.61  0.25  2.20646  1.366 3.970  4.242 10.4   0.031 0.00 11.755 11.968 11.771 11.982 12.190 12.359 11.798  2.206
 1   7.63 -0.13  2.39349  1.569 4.033  4.325 11.3   0.035 0.00 12.148 12.688 12.432 12.716 12.958 13.149 12.495  2.393
 1   7.69  0.21  2.01799  1.209 3.941  4.243 10.8   0.033 0.00 12.548 12.659 12.518 12.661 12.836 12.991 12.516  2.018
 1   7.69  0.27  2.70488  1.715 4.029  4.218 11.3   0.035 0.00 11.783 12.277 12.018 12.305 12.550 12.741 12.086  2.705
 1   7.73 -0.13  2.58832  1.705 4.054  4.307  9.5   0.025 0.00 10.007 10.649 10.376 10.680 10.932 11.133 10.450  2.588
 1   7.73 -0.03  1.21269  0.275 3.800  4.392  7.8   0.015 0.00 11.882 11.835 12.102 11.779 11.726 11.751 11.957  1.213
 1   7.73  0.15  3.06610  1.944 4.069  4.202 10.8   0.033 0.00 10.711 11.417 11.136 11.450 11.709 11.916 11.220  3.066
 1   7.73  0.53  3.60369  2.222 4.107  4.147 12.7   0.038 0.00 11.915 12.797 12.494 12.834 13.108 13.336 12.598  3.604
 1   7.75 -0.19  2.48271  1.650 4.050  4.327 10.7   0.032 0.00 11.344 11.973 11.706 12.003 12.252 12.449 11.776  2.483
 1   7.75 -0.15  4.83700  2.797 4.208  4.101 12.0   0.037 0.00  9.777 11.310 10.977 11.354 11.648 11.907 11.092  4.837
 1   7.75  0.03  5.51525  3.056 4.213  3.921 10.6   0.032 0.00  7.731  9.271  8.932  9.316  9.614  9.877  9.053  5.515
 1   7.75  0.07  2.26598  1.434 3.991  4.268  8.9   0.022 0.00 10.085 10.394 10.168 10.414 10.637 10.815 10.211  2.266
 1   7.77 -0.39  2.19150  1.494 4.040  4.392 11.3   0.035 0.00 12.336 12.929 12.672 12.957 13.200 13.393 12.734  2.191
 1   7.77  0.07  1.21788  0.265 3.794  4.381  8.3   0.018 0.00 12.408 12.355 12.650 12.295 12.234 12.254 12.495  1.218
 1   7.79  0.09  3.90390  2.381 4.135  4.133 12.4   0.037 0.00 11.216 12.296 11.989 12.334 12.610 12.845 12.091  3.904
 1   7.81 -0.09  2.67578  1.751 4.055  4.282  8.3   0.018 0.00  8.694  9.334  9.058  9.365  9.620  9.822  9.134  2.676
 1   7.81  0.31  2.36137  1.489 3.989  4.223 10.9   0.033 0.00 11.947 12.241 12.019 12.261 12.483 12.659 12.063  2.361
 1   7.83 -0.07  5.08226  2.929 4.199  3.958 11.9   0.037 0.00  9.347 10.822 10.491 10.866 11.158 11.414 10.607  5.082
 1   7.83  0.01  3.40969  2.154 4.107  4.190 10.8   0.033 0.00 10.185 11.111 10.815 11.146 11.415 11.638 10.907  3.410
 1   7.83  0.01  6.08491  3.402 4.156  3.391 12.2   0.037 0.00  8.465  9.669  9.354  9.708  9.988 10.222  9.466  6.085
 1   7.83  0.15  2.16674  1.345 3.967  4.244 11.0   0.034 0.00 12.407 12.619 12.427 12.632 12.835 13.001 12.451  2.167
 1   7.85 -0.27  1.29256  0.469 3.841  4.391  9.9   0.028 0.00 13.498 13.504 13.638 13.464 13.469 13.533 13.539  1.293
 1   7.85  0.17  2.23873  1.399 3.975  4.234 10.4   0.031 0.00 11.672 11.909 11.704 11.925 12.136 12.306 11.735  2.239
 1   7.85  0.27  1.22369  0.244 3.786  4.373  9.9   0.028 0.00 14.059 13.999 14.340 13.932 13.861 13.874 14.171  1.224
 1   7.85  0.35  1.29307  0.369 3.801  4.332  9.3   0.024 0.00 13.149 13.076 13.366 13.013 12.965 12.997 13.211  1.293
